"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"10228","NLA06608-1292-2007-1","NLA06608-1292",1,0,2007,7,20,28.5,7.27,8.3,296,"E",1
"10229","NLA06608-1292-2007-1","NLA06608-1292",1,1,2007,7,20,28.5,7.32,8.28,295,"E",1
"10230","NLA06608-1292-2007-1","NLA06608-1292",1,2,2007,7,20,28.4,7.28,8.33,295,"E",1
"10231","NLA06608-1292-2007-1","NLA06608-1292",1,3,2007,7,20,28.2,7.12,8.4,295,"M",1
"10232","NLA06608-1292-2007-1","NLA06608-1292",1,4,2007,7,20,29.8,0.02,7.7,299,"M",1
"10233","NLA06608-1292-2007-1","NLA06608-1292",1,5,2007,7,20,22.1,0,7.66,304,"M",1
"10234","NLA06608-1292-2007-1","NLA06608-1292",1,6,2007,7,20,19.6,0,7.38,332,"M",1
"10235","NLA06608-1292-2007-1","NLA06608-1292",1,7,2007,7,20,16.7,0,7.22,367,"M",1
"10236","NLA06608-1292-2007-1","NLA06608-1292",1,8,2007,7,20,14.5,0,7.15,401,"M",1
"10237","NLA06608-1292-2007-1","NLA06608-1292",1,8.8,2007,7,20,14,0,7.12,413,"M",1
