"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15257","NLA06608-ELS:1C3-003-2007-1","NLA06608-ELS_1C3-003",1,0,2007,8,15,21.4,7.98,6.43,16,"E",1
"15258","NLA06608-ELS:1C3-003-2007-1","NLA06608-ELS_1C3-003",1,0.5,2007,8,15,21.42,7.85,6.4,16,"E",1
"15259","NLA06608-ELS:1C3-003-2007-1","NLA06608-ELS_1C3-003",1,1,2007,8,15,21.41,7.83,6.39,16,"E",1
"15260","NLA06608-ELS:1C3-003-2007-1","NLA06608-ELS_1C3-003",1,1.5,2007,8,15,21.4,7.8,6.39,16,"E",1
"15261","NLA06608-ELS:1C3-003-2007-1","NLA06608-ELS_1C3-003",1,2,2007,8,15,21.39,7.78,6.38,16,"E",1
"15262","NLA06608-ELS:1C3-003-2007-1","NLA06608-ELS_1C3-003",1,2.5,2007,8,15,21.38,7.81,6.38,16,"E",1
"15263","NLA06608-ELS:1C3-003-2007-1","NLA06608-ELS_1C3-003",1,3,2007,8,15,21.12,7.4,6.22,16,"E",1
"15264","NLA06608-ELS:1C3-003-2007-1","NLA06608-ELS_1C3-003",1,3.5,2007,8,15,18.17,6.42,5.77,18,"E",1
"15265","NLA06608-ELS:1C3-003-2007-1","NLA06608-ELS_1C3-003",1,4,2007,8,15,14.97,3.88,5.63,19,"E",1
"15266","NLA06608-ELS:1C3-003-2007-1","NLA06608-ELS_1C3-003",1,4.5,2007,8,15,12.7,1.43,5.58,19,"E",1
