"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15364","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,0,2007,8,21,19,7.5,6.1,NA,"E",0
"15365","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,1,2007,8,21,19,7.4,5.9,NA,"E",0
"15366","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,2,2007,8,21,18.7,6.6,5.7,NA,"M",0
"15367","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,3,2007,8,21,12,0.2,5.1,NA,"M",0
"15368","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,4,2007,8,21,7.9,0.1,5,NA,"M",0
"15369","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,5,2007,8,21,6.3,0.7,4.9,NA,"M",0
"15370","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,6,2007,8,21,5.2,0.4,4.9,NA,"M",0
"15371","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,7,2007,8,21,5,0.3,4.9,NA,"H",0
"15372","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,8,2007,8,21,4.9,0.1,4.9,NA,"H",0
"15373","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,9,2007,8,21,4.8,0,5,NA,"H",0
"15374","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,10,2007,8,21,4.8,0,5,NA,"H",0
"15375","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,11,2007,8,21,4.8,0,5.1,NA,"H",0
"15376","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,12,2007,8,21,4.7,0,5.1,NA,"H",0
"15377","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,13,2007,8,21,4.7,0,5.5,NA,"H",0
"15378","NLA06608-ELS:2B2-008-2007-1","NLA06608-ELS_2B2-008",1,14,2007,8,21,4.7,0.2,5.5,NA,"H",0
