"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15437","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,0,2007,9,5,18,8.45,7.65,37,"E",1
"15438","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,0.5,2007,9,5,18,8.43,7.62,37,"E",1
"15439","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,1,2007,9,5,18,8.43,7.62,37,"E",1
"15440","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,1.5,2007,9,5,18,8.44,7.62,37,"E",1
"15441","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,2,2007,9,5,18,8.44,7.62,37,"E",1
"15442","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,2.5,2007,9,5,18,8.44,7.62,37,"E",1
"15443","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,3,2007,9,5,17.9,8.45,7.61,37,"E",1
"15444","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,3.5,2007,9,5,17.9,8.45,7.61,37,"E",1
"15445","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,4,2007,9,5,17.9,8.44,7.6,36,"E",1
"15446","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,4.5,2007,9,5,17.9,8.45,7.59,38,"E",1
"15447","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,5,2007,9,5,17.8,8.46,7.59,36,"M",1
"15448","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,5.5,2007,9,5,14.72,10.97,7.36,34,"M",1
"15449","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,6,2007,9,5,11.37,10.76,7.05,31,"M",1
"15450","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,6.5,2007,9,5,9.51,9.5,6.85,30,"M",1
"15451","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,7,2007,9,5,8,6.23,6.64,30,"M",1
"15452","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,7.5,2007,9,5,7.3,4.44,6.55,30,"M",1
"15453","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,8,2007,9,5,6.78,2.95,6.49,29,"M",1
"15454","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,8.5,2007,9,5,6.4,2.11,6.45,30,"M",1
"15455","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,9,2007,9,5,6.15,1.37,6.43,30,"M",1
"15456","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,9.5,2007,9,5,6.07,1.17,6.41,30,"M",1
"15457","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,10,2007,9,5,5.95,0.84,6.41,30,"M",1
"15458","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,11,2007,9,5,5.81,0.57,6.4,30,"H",1
"15459","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,12,2007,9,5,5.76,0.39,6.39,32,"H",1
"15460","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,13,2007,9,5,5.7,0.16,6.38,30,"H",1
"15461","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,14,2007,9,5,5.67,0.07,6.38,31,"H",1
"15462","NLA06608-EMAP:ME254L-2007-1","NLA06608-EMAP_ME254L",1,15,2007,9,5,5.62,0.07,6.39,31,"H",1
