"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15561","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,0,2007,8,3,30.1,NA,6.3,19.7,"E",0
"15562","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,1,2007,8,3,30.1,NA,6.2,19.7,"E",0
"15563","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,2,2007,8,3,30,NA,6.2,19.5,"E",0
"15564","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,3,2007,8,3,30,NA,6.2,19.5,"E",0
"15565","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,4,2007,8,3,30,NA,6.1,19.5,"E",0
"15566","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,5,2007,8,3,29.9,NA,6.1,19.5,"E",0
"15567","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,6,2007,8,3,29.9,NA,6.1,19.5,"E",0
"15568","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,7,2007,8,3,29.8,NA,6.1,19.6,"E",0
"15569","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,8,2007,8,3,29.5,NA,6,19.6,"M",0
"15570","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,9,2007,8,3,26.1,NA,6.2,17.9,"M",0
"15571","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,10,2007,8,3,23.6,NA,5.8,17.3,"M",0
"15572","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,11,2007,8,3,21,NA,5.4,16.6,"M",0
"15573","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,12,2007,8,3,19.9,NA,5.2,17,"M",0
"15574","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,13,2007,8,3,18.8,NA,4.9,17.5,"M",0
"15575","NLA06608-FL:16674741-2007-1","NLA06608-FL_16674741",1,13.7,2007,8,3,18.4,NA,4.7,18.1,"H",0
