"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15682","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,0,2007,9,24,17.4,8.5,8.3,298,"E",0
"15683","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,1,2007,9,24,17.4,8.5,8.3,298,"E",0
"15684","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,2,2007,9,24,17.4,8.3,8.3,297,"E",0
"15685","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,3,2007,9,24,17.4,8.3,8.3,297,"E",0
"15686","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,4,2007,9,24,17.4,8.3,8.3,297,"E",0
"15687","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,5,2007,9,24,17.3,8.3,8.3,297,"E",0
"15688","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,6,2007,9,24,17.2,8.4,8.3,298,"E",0
"15689","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,7,2007,9,24,16.9,8.3,8.3,298,"E",0
"15690","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,8,2007,9,24,16.6,8.3,8.2,298,"E",0
"15691","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,9,2007,9,24,15.7,7.1,8,307,"E",0
"15692","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,10,2007,9,24,11.7,1.3,7.5,348,"M",0
"15693","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,11,2007,9,24,8.8,1.1,7.4,352,"M",0
"15694","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,12,2007,9,24,7.8,1.1,7.4,353,"M",0
"15695","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,13,2007,9,24,6.8,1.2,7.4,356,"M",0
"15696","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,14,2007,9,24,6.2,1.1,7.2,357,"M",0
"15697","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,15,2007,9,24,5.8,1.2,7.2,359,"H",0
"15698","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,16,2007,9,24,5.6,1.1,7.2,361,"H",0
"15699","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,17,2007,9,24,5.4,1.1,7.3,364,"H",0
"15700","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,18,2007,9,24,5.3,1.1,7.4,365,"H",0
"15701","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,19,2007,9,24,5.2,1.1,7.6,366,"H",0
"15702","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,20,2007,9,24,5,1.1,7.6,368,"H",0
"15703","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,21,2007,9,24,5,1.2,7.7,369,"H",0
"15704","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,22,2007,9,24,4.9,1.1,7.8,370,"H",0
"15705","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,23,2007,9,24,4.9,1.1,7.9,371,"H",0
"15706","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,24,2007,9,24,4.9,1.1,7.9,372,"H",0
"15707","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,25,2007,9,24,4.9,1.1,8,372,"H",0
"15708","NLA06608-MN:49-0140-2007-1","NLA06608-MN_49-0140",1,26,2007,9,24,4.8,1.1,8,373,"H",0
