"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15914","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,0,2007,8,29,20.7,9.2,7.64,44,"E",0
"15915","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,0.5,2007,8,29,20.3,9.16,7.65,43,"E",0
"15916","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,1,2007,8,29,19.8,9.15,7.66,43,"E",0
"15917","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,1.5,2007,8,29,19.7,9,7.63,43,"E",0
"15918","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,2,2007,8,29,19.6,9,7.63,43,"E",0
"15919","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,2.5,2007,8,29,19.6,9,7.63,43,"E",0
"15920","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,3,2007,8,29,19.5,9,7.62,43,"E",0
"15921","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,3.5,2007,8,29,19.2,9,7.61,43,"E",0
"15922","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,4,2007,8,29,19,9,7.62,43,"E",0
"15923","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,4.5,2007,8,29,18.6,9,7.58,44,"M",0
"15924","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,5,2007,8,29,17.9,8.8,7.46,44,"M",0
"15925","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,5.5,2007,8,29,16.9,8.8,7.39,44,"M",0
"15926","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,6,2007,8,29,15,9.27,7.08,44,"M",0
"15927","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,6.5,2007,8,29,13.6,9.52,6.84,43,"H",0
"15928","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,7,2007,8,29,12.3,9,6.78,43,"H",0
"15929","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,7.5,2007,8,29,10.9,8.5,6.7,44,"H",0
"15930","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,8,2007,8,29,9.4,7.69,6.65,43,"H",0
"15931","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,8.5,2007,8,29,8.96,7.65,6.57,43,"H",0
"15932","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,9,2007,8,29,8.6,7.34,6.51,43,"H",0
"15933","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,9.5,2007,8,29,8.11,6.11,6,43,"H",0
"15934","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,10,2007,8,29,7.75,5.25,6.4,43,"H",0
"15935","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,10.5,2007,8,29,7.55,4.78,6.4,43,"H",0
"15936","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,11,2007,8,29,7.35,4,6.34,44,"H",0
"15937","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,11.5,2007,8,29,7.21,3.3,6.31,44,"H",0
"15938","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,12,2007,8,29,7.06,2.48,6.28,45,"H",0
"15939","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,12.5,2007,8,29,6.99,1.91,6.26,45,"H",0
"15940","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,13,2007,8,29,6.94,1.71,6.25,46,"H",0
"15941","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,13.5,2007,8,29,6.91,1.56,6.23,46,"H",0
"15942","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,14,2007,8,29,6.89,1.38,6.24,46,"H",0
"15943","NLA06608-NELP-2155-2007-1","NLA06608-NELP-2155",1,14.5,2007,8,29,6.88,1.28,6.26,46,"H",0
