"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16130","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,0,2007,8,8,19.1,13.8,6.9,4,"E",0
"16131","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,1,2007,8,8,19.1,13.8,6.8,3.9,"E",0
"16132","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,2,2007,8,8,18.9,13.9,6.8,4,"E",0
"16133","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,3,2007,8,8,18.9,13,6.8,4,"E",0
"16134","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,4,2007,8,8,18.9,12.9,6.8,4,"E",0
"16135","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,5,2007,8,8,18.9,13.8,6.8,3.9,"E",0
"16136","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,6,2007,8,8,18.8,13.8,6.7,3.9,"E",0
"16137","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,7,2007,8,8,18.8,13.8,6.7,4,"E",0
"16138","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,8,2007,8,8,18.8,13.8,6.7,4,"E",0
"16139","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,9,2007,8,8,18.8,13.9,6.7,4,"E",0
"16140","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,10,2007,8,8,18.8,13.5,6.8,4.1,"E",0
"16141","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,11,2007,8,8,18.8,13.2,6.6,4,"E",0
"16142","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,12,2007,8,8,18.8,13.3,6.7,4.1,"E",0
"16143","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,13,2007,8,8,18.7,13,6.7,4,"E",0
"16144","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,14,2007,8,8,18.7,12.6,6.6,4.2,"E",0
"16145","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,15,2007,8,8,17.3,14.6,6.7,3.7,"M",0
"16146","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,16,2007,8,8,17,14.5,6.7,3.5,"M",0
"16147","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,17,2007,8,8,16.6,14.2,6.7,35.1,"H",0
"16148","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,18,2007,8,8,16.2,14.6,6.7,3.5,"H",0
"16149","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,19,2007,8,8,15.8,14,6.8,3.5,"H",0
"16150","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,20,2007,8,8,15.7,14,6.8,3.4,"H",0
"16151","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,22,2007,8,8,15.3,13,6.7,3.3,"H",0
"16152","NLA06608-R10CHARLT-2007-1","NLA06608-R10CHARLT",1,24,2007,8,8,15.5,12.7,6.6,3.5,"H",0
