"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16153","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,0,2007,8,22,16.7,12.3,8.1,30.7,"E",0
"16154","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,1,2007,8,22,16.5,11.6,8.1,30.6,"E",0
"16155","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,2,2007,8,22,16.4,11,8,30.3,"E",0
"16156","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,3,2007,8,22,16.4,11.1,8.1,30.3,"E",0
"16157","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,4,2007,8,22,16.3,11.1,8,30.4,"E",0
"16158","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,5,2007,8,22,16.3,11,8,30.2,"E",0
"16159","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,6,2007,8,22,16.3,11,8,30.2,"E",0
"16160","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,7,2007,8,22,16.2,10.9,8,30.1,"E",0
"16161","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,8,2007,8,22,16.1,10.9,8,30.1,"E",0
"16162","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,9,2007,8,22,13.8,14.3,8.2,29.9,"M",0
"16163","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,10,2007,8,22,12.2,14.7,8.1,28.6,"M",0
"16164","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,11,2007,8,22,11.3,14.4,7.9,27.8,"M",0
"16165","NLA06608-R10COUNCI-2007-1","NLA06608-R10COUNCI",1,12,2007,8,22,10,13.5,7.6,26.6,"H",0
