"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16211","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,0,2007,8,19,14,9.4,7.9,22.5,"E",0
"16212","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,1,2007,8,19,14,9.3,7.8,22.4,"E",0
"16213","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,2,2007,8,19,14,9.1,7.8,22.4,"E",0
"16214","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,3,2007,8,19,14,9.1,7.8,22.6,"E",0
"16215","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,4,2007,8,19,14,9.2,7.8,22.6,"E",0
"16216","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,5,2007,8,19,12.7,9.1,7.8,28.4,"E",0
"16217","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,6,2007,8,19,11.6,10.4,7.9,32.1,"E",0
"16218","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,7,2007,8,19,9.9,10.9,7.9,33.3,"E",0
"16219","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,8,2007,8,19,8.9,11.1,8.2,33.4,"E",0
"16220","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,9,2007,8,19,8.2,11.8,8.6,34,"E",0
"16221","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,10,2007,8,19,7.1,12,9,33.2,"E",0
"16222","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,11,2007,8,19,6.5,12.4,9.2,33.1,"E",0
"16223","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,12,2007,8,19,6.1,11.9,8.8,33.4,"E",0
"16224","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,13,2007,8,19,5.8,12.1,8.9,32.5,"E",0
"16225","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,14,2007,8,19,5.6,11.7,8.8,33.1,"E",0
"16226","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,15,2007,8,19,5.4,10.2,8.2,34.2,"E",0
"16227","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,16,2007,8,19,5.2,8.4,7.8,35,"E",0
"16228","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,17,2007,8,19,4.9,6.7,7.5,36.9,"E",0
"16229","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,18,2007,8,19,4.8,4.4,7.3,38.8,"E",0
"16230","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,19,2007,8,19,4.7,3.2,7.2,41.3,"E",0
"16231","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,20,2007,8,19,4.7,1.9,7.2,43,"E",0
"16232","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,22,2007,8,19,4.6,0.7,7.1,47.3,"E",0
"16233","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,24,2007,8,19,4.7,0.4,7.1,60.8,"E",0
"16234","NLA06608-R10RAINYL-2007-1","NLA06608-R10RAINYL",1,26,2007,8,19,4.7,0.4,7.3,69.2,"E",0
