"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16235","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,0,2007,8,24,22,9.9,9.1,242.8,"E",0
"16236","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,1,2007,8,24,21.8,10.5,9.1,240.8,"E",0
"16237","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,2,2007,8,24,21.8,9.8,9.1,240.8,"E",0
"16238","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,3,2007,8,24,21.7,9.8,9.1,239.3,"E",0
"16239","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,4,2007,8,24,21.7,9.6,9.1,240.2,"E",0
"16240","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,5,2007,8,24,21.6,9.4,8.9,240.6,"E",0
"16241","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,6,2007,8,24,21.2,9.4,8.8,240.1,"E",0
"16242","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,7,2007,8,24,18.8,9.5,8.5,223.7,"M",0
"16243","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,8,2007,8,24,14.9,10.6,8.3,206.1,"M",0
"16244","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,9,2007,8,24,12.3,9.7,8.3,188.8,"M",0
"16245","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,10,2007,8,24,9.7,9.1,8.2,177.1,"M",0
"16246","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,11,2007,8,24,8.1,8.5,8.1,165.8,"M",0
"16247","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,12,2007,8,24,7,6,8,158.9,"M",0
"16248","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,13,2007,8,24,6,4.2,7.9,156,"M",0
"16249","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,14,2007,8,24,5.5,3.5,7.9,151.3,"M",0
"16250","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,15,2007,8,24,5.2,3.2,7.8,150.1,"H",0
"16251","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,16,2007,8,24,5,3,7.8,149,"H",0
"16252","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,17,2007,8,24,4.9,2.9,7.8,147.8,"H",0
"16253","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,18,2007,8,24,4.7,2.8,7.8,149.4,"H",0
"16254","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,19,2007,8,24,4.6,2.8,7.8,149.4,"H",0
"16255","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,20,2007,8,24,4.6,2.8,7.8,148.3,"H",0
"16256","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,22,2007,8,24,4.5,2,7.8,152.1,"H",0
"16257","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,24,2007,8,24,4.6,0.6,7.7,157.1,"H",0
"16258","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,26,2007,8,24,4.6,0.5,7.7,157.6,"H",0
"16259","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,28,2007,8,24,4.6,0.5,7.7,157.6,"H",0
"16260","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,30,2007,8,24,4.6,0.5,7.7,157.1,"H",0
"16261","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,32,2007,8,24,4.6,0.5,7.8,157.6,"H",0
"16262","NLA06608-R10SQUAWL-2007-1","NLA06608-R10SQUAWL",1,33,2007,8,24,4.6,0.5,7.8,157.6,"H",0
