"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16267","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,0,2007,8,15,17.9,8.3,7.8,20.3,"E",0
"16268","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,1,2007,8,15,17.9,8.3,7.8,20.3,"E",0
"16269","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,2,2007,8,15,17.8,8.4,7.7,20.5,"E",0
"16270","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,3,2007,8,15,17.8,8.2,7.7,20.4,"E",0
"16271","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,4,2007,8,15,17.8,8.2,7.7,20.4,"E",0
"16272","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,5,2007,8,15,17.8,8.2,7.7,20.3,"E",0
"16273","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,6,2007,8,15,17.7,7.9,7.7,20,"E",0
"16274","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,7,2007,8,15,17.5,7.8,7.6,20.3,"E",0
"16275","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,8,2007,8,15,16.1,9.1,7.6,20.3,"M",0
"16276","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,9,2007,8,15,13.6,10.4,7.7,18.8,"M",0
"16277","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,10,2007,8,15,11.9,10.7,7.7,17.2,"M",0
"16278","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,11,2007,8,15,10.1,10.6,7.7,16.9,"M",0
"16279","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,12,2007,8,15,8.9,10.5,7.6,16.2,"M",0
"16280","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,13,2007,8,15,7.3,10.3,7.5,15.3,"M",0
"16281","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,14,2007,8,15,6.3,9.1,7.3,14.7,"M",0
"16282","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,15,2007,8,15,5.9,8.4,7.2,14.6,"M",0
"16283","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,16,2007,8,15,5.6,8.1,7,14.4,"H",0
"16284","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,17,2007,8,15,5.3,7.5,7,14.1,"H",0
"16285","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,18,2007,8,15,5.2,7.1,6.9,14.1,"H",0
"16286","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,19,2007,8,15,5.2,6.4,6.7,14.2,"H",0
"16287","NLA06608-R10YELLOW-2007-1","NLA06608-R10YELLOW",1,20,2007,8,15,5,6.1,6.7,14.1,"H",0
