"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16387","NLA06608-R324-2007-1","NLA06608-R324",1,0,2007,9,20,24.1,7.6,7.7,160,"E",1
"16388","NLA06608-R324-2007-1","NLA06608-R324",1,1,2007,9,20,24.1,7.6,7.7,160,"E",1
"16389","NLA06608-R324-2007-1","NLA06608-R324",1,2,2007,9,20,24.1,7.6,7.7,160,"E",1
"16390","NLA06608-R324-2007-1","NLA06608-R324",1,3,2007,9,20,24.1,7.6,7.7,160,"E",1
"16391","NLA06608-R324-2007-1","NLA06608-R324",1,4,2007,9,20,24.1,7.6,7.7,160,"E",1
"16392","NLA06608-R324-2007-1","NLA06608-R324",1,5,2007,9,20,24.1,7.6,7.7,160,"E",1
"16393","NLA06608-R324-2007-1","NLA06608-R324",1,6,2007,9,20,22.3,5.3,7.4,161,"M",1
"16394","NLA06608-R324-2007-1","NLA06608-R324",1,7,2007,9,20,15.5,0.8,7,166,"M",1
"16395","NLA06608-R324-2007-1","NLA06608-R324",1,8,2007,9,20,13,0.4,6.7,170,"M",1
"16396","NLA06608-R324-2007-1","NLA06608-R324",1,9,2007,9,20,12.4,0.4,6.7,179,"H",1
"16397","NLA06608-R324-2007-1","NLA06608-R324",1,10,2007,9,20,12,0.4,6.7,182,"H",1
"16398","NLA06608-R324-2007-1","NLA06608-R324",1,11,2007,9,20,11.8,0.3,6.7,187,"H",1
"16399","NLA06608-R324-2007-1","NLA06608-R324",1,12,2007,9,20,11.5,0.3,6.7,189,"H",1
"16400","NLA06608-R324-2007-1","NLA06608-R324",1,13,2007,9,20,11.4,0.3,6.7,191,"H",1
"16401","NLA06608-R324-2007-1","NLA06608-R324",1,14,2007,9,20,11.3,0.3,6.7,192,"H",1
"16402","NLA06608-R324-2007-1","NLA06608-R324",1,15,2007,9,20,11.3,0.3,6.8,195,"H",1
"16403","NLA06608-R324-2007-1","NLA06608-R324",1,15.5,2007,9,20,11.1,0.3,6.7,221,"H",1
