"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16790","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,0,2007,9,10,28.3,7.7,7.6,377.6,"E",0
"16791","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,1,2007,9,10,28.3,7.7,7.8,377.6,"E",0
"16792","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,2,2007,9,10,28.3,7.6,8,378.6,"E",0
"16793","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,3,2007,9,10,28.3,7.6,8,378.6,"E",0
"16794","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,4,2007,9,10,28.3,7.6,8.1,377.6,"E",0
"16795","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,5,2007,9,10,28.3,7.6,8.1,378.6,"E",0
"16796","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,6,2007,9,10,28.3,7.5,8.1,378.6,"E",0
"16797","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,7,2007,9,10,28.1,6.6,8,380.3,"E",0
"16798","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,8,2007,9,10,28,5.8,7.9,383.8,"E",0
"16799","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,9,2007,9,10,27.8,5,7.9,399.2,"E",0
"16800","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,10,2007,9,10,27.7,4.9,7.8,401.5,"E",0
"16801","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,11,2007,9,10,27.7,4.7,7.8,401.5,"E",0
"16802","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,12,2007,9,10,27.7,4.6,7.7,401.5,"E",0
"16803","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,13,2007,9,10,27.7,4.5,7.7,401.5,"E",0
"16804","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,14,2007,9,10,27.7,4.4,7.7,400.5,"E",0
"16805","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,15,2007,9,10,27.6,3.9,7.7,397.5,"E",0
"16806","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,16,2007,9,10,27.4,2.8,7.6,394.8,"E",0
"16807","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,17,2007,9,10,25.9,0.6,7.4,350.8,"E",0
"16808","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,18,2007,9,10,25.4,0.6,7.3,343,"E",0
"16809","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,19,2007,9,10,25.1,0.5,7.2,341.8,"E",0
"16810","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,20,2007,9,10,24.6,0.5,7.2,343,"E",0
"16811","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,21,2007,9,10,24.2,0.5,7.1,343.8,"E",0
"16812","NLA06608-TX:14-2007-1","NLA06608-TX_14",1,21.6,2007,9,10,23.8,0.4,7.1,343.7,"E",0
