"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16902","NLA06608-WI:SY-2007-1","NLA06608-WI_SY",1,0,2007,7,17,24.1,11.2,8.7,NA,"E",0
"16903","NLA06608-WI:SY-2007-1","NLA06608-WI_SY",1,1,2007,7,17,23.2,11.8,8.8,NA,"E",0
"16904","NLA06608-WI:SY-2007-1","NLA06608-WI_SY",1,2,2007,7,17,22.3,8.3,8.5,NA,"M",0
"16905","NLA06608-WI:SY-2007-1","NLA06608-WI_SY",1,3,2007,7,17,20.6,0.24,7.7,NA,"M",0
"16906","NLA06608-WI:SY-2007-1","NLA06608-WI_SY",1,4,2007,7,17,14.1,0.11,7.4,NA,"M",0
"16907","NLA06608-WI:SY-2007-1","NLA06608-WI_SY",1,5,2007,7,17,6.5,0,7.3,NA,"M",0
"16908","NLA06608-WI:SY-2007-1","NLA06608-WI_SY",1,6,2007,7,17,6.1,0,7.3,NA,"H",0
"16909","NLA06608-WI:SY-2007-1","NLA06608-WI_SY",1,7,2007,7,17,5.6,0,7.2,NA,"H",0
"16910","NLA06608-WI:SY-2007-1","NLA06608-WI_SY",1,8,2007,7,17,5,0,7.1,NA,"H",0
"16911","NLA06608-WI:SY-2007-1","NLA06608-WI_SY",1,8.5,2007,7,17,4.9,0,7,NA,"H",0
