"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"22123","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,0,2012,7,31,25,10.2,8.8,470,"E",0
"22124","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,1,2012,7,31,24.4,9.1,8.3,460,"E",0
"22125","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,2,2012,7,31,24,8.2,8.2,460,"E",0
"22126","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,3,2012,7,31,23.9,9.7,8.2,460,"E",0
"22127","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,4,2012,7,31,23.8,9.7,8.4,460,"E",0
"22128","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,5,2012,7,31,23.7,9.2,8.4,460,"E",0
"22129","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,6,2012,7,31,23.5,9.2,8.4,460,"E",0
"22130","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,7,2012,7,31,21.8,10.8,8.5,430,"M",0
"22131","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,8,2012,7,31,19.7,11.4,8.7,410,"M",0
"22132","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,9,2012,7,31,19.2,9.5,8.7,390,"M",0
"22133","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,10,2012,7,31,16.6,10.1,8.6,380,"M",0
"22134","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,11,2012,7,31,14,11.5,8.6,360,"M",0
"22135","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,12,2012,7,31,13,11,8.5,350,"M",0
"22136","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,13,2012,7,31,11.5,10.1,8.5,340,"M",0
"22137","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,14,2012,7,31,9.3,10.7,8.4,320,"M",0
"22138","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,15,2012,7,31,8.9,10.5,8.3,320,"M",0
"22139","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,16,2012,7,31,8.5,9.4,8.3,320,"H",0
"22140","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,17,2012,7,31,7.8,8.2,8.1,310,"H",0
"22141","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,18,2012,7,31,7.3,6.2,8,310,"H",0
"22142","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,19,2012,7,31,7,5.6,8,310,"H",0
"22143","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,20,2012,7,31,6.8,4.6,7.9,310,"H",0
"22144","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,22,2012,7,31,6.8,4.2,7.8,310,"H",0
"22145","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,24,2012,7,31,6.4,3.2,7.8,310,"H",0
"22146","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,26,2012,7,31,6.1,1.9,7.8,310,"H",0
"22147","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,28,2012,7,31,6.1,0.6,7.7,310,"H",0
"22148","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,30,2012,7,31,6,0.1,7.7,310,"H",0
"22149","NLA12_WA-R09-2012-1","NLA12_WA-R09",1,30.5,2012,7,31,6,NA,7.6,310,"H",0
