"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"22175","NLA12_WI-113-2012-1","NLA12_WI-113",1,0,2012,7,5,29.3,10.8,8.9,276,"E",0
"22176","NLA12_WI-113-2012-1","NLA12_WI-113",1,1,2012,7,5,28.8,10.8,8.8,276,"E",0
"22177","NLA12_WI-113-2012-1","NLA12_WI-113",1,2,2012,7,5,27.5,12.3,8.7,291,"E",0
"22178","NLA12_WI-113-2012-1","NLA12_WI-113",1,3,2012,7,5,24,20.3,8.6,295,"E",0
"22179","NLA12_WI-113-2012-1","NLA12_WI-113",1,4,2012,7,5,19.4,19.5,8.4,319,"E",0
"22180","NLA12_WI-113-2012-1","NLA12_WI-113",1,5,2012,7,5,15.1,13,8.2,346,"E",0
"22181","NLA12_WI-113-2012-1","NLA12_WI-113",1,6,2012,7,5,11.9,8.5,7.8,360,"E",0
"22182","NLA12_WI-113-2012-1","NLA12_WI-113",1,7,2012,7,5,9.7,7.5,7.6,370,"E",0
"22183","NLA12_WI-113-2012-1","NLA12_WI-113",1,8,2012,7,5,8.3,6.4,7.4,372,"E",0
"22184","NLA12_WI-113-2012-1","NLA12_WI-113",1,9,2012,7,5,7.3,2.3,7.3,380,"E",0
"22185","NLA12_WI-113-2012-1","NLA12_WI-113",1,10,2012,7,5,6.7,0.8,7.2,385,"E",0
"22186","NLA12_WI-113-2012-1","NLA12_WI-113",1,11,2012,7,5,6.4,0.6,7.2,390,"E",0
"22187","NLA12_WI-113-2012-1","NLA12_WI-113",1,12,2012,7,5,6.2,0.5,7.1,393,"E",0
"22188","NLA12_WI-113-2012-1","NLA12_WI-113",1,13,2012,7,5,6,0.4,7.1,401,"E",0
"22189","NLA12_WI-113-2012-1","NLA12_WI-113",1,14,2012,7,5,5.9,0.4,6.9,426,"E",0
"22190","NLA12_WI-113-2012-1","NLA12_WI-113",1,14.7,2012,7,5,5.9,0.4,6.9,467,"E",0
