"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"22405","NLA12_WI-176-2012-1","NLA12_WI-176",1,0,2012,9,10,21.7,8.8,8.2,244,"E",0
"22406","NLA12_WI-176-2012-1","NLA12_WI-176",1,1,2012,9,10,21.7,8.8,8.3,243,"E",0
"22407","NLA12_WI-176-2012-1","NLA12_WI-176",1,2,2012,9,10,21.4,8.8,8.3,243,"E",0
"22408","NLA12_WI-176-2012-1","NLA12_WI-176",1,3,2012,9,10,20.7,8.8,8.3,243,"E",0
"22409","NLA12_WI-176-2012-1","NLA12_WI-176",1,4,2012,9,10,20.6,8.8,8.3,243,"E",0
"22410","NLA12_WI-176-2012-1","NLA12_WI-176",1,5,2012,9,10,20.2,8.9,8.2,247,"M",0
"22411","NLA12_WI-176-2012-1","NLA12_WI-176",1,6,2012,9,10,15.8,8.6,7.7,276,"M",0
"22412","NLA12_WI-176-2012-1","NLA12_WI-176",1,7,2012,9,10,12,3.4,7.4,286,"M",0
"22413","NLA12_WI-176-2012-1","NLA12_WI-176",1,8,2012,9,10,10.1,0.8,7.3,288,"M",0
"22414","NLA12_WI-176-2012-1","NLA12_WI-176",1,9,2012,9,10,8.9,0.6,7.3,289,"M",0
"22415","NLA12_WI-176-2012-1","NLA12_WI-176",1,10,2012,9,10,8,0.5,7.3,290,"M",0
"22416","NLA12_WI-176-2012-1","NLA12_WI-176",1,11,2012,9,10,7.4,0.4,7.3,294,"M",0
"22417","NLA12_WI-176-2012-1","NLA12_WI-176",1,12,2012,9,10,6.9,0.3,7.3,297,"H",0
"22418","NLA12_WI-176-2012-1","NLA12_WI-176",1,13,2012,9,10,6.6,0.3,7.2,300,"H",0
"22419","NLA12_WI-176-2012-1","NLA12_WI-176",1,14,2012,9,10,6.3,0.3,7.1,310,"H",0
