"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"22442","NLA12_WI-183-2012-1","NLA12_WI-183",1,0,2012,9,26,14,9.1,6.1,9.6,"E",0
"22443","NLA12_WI-183-2012-1","NLA12_WI-183",1,1,2012,9,26,14,9.1,6.1,9.5,"E",0
"22444","NLA12_WI-183-2012-1","NLA12_WI-183",1,2,2012,9,26,14,9.1,6.2,9.6,"E",0
"22445","NLA12_WI-183-2012-1","NLA12_WI-183",1,3,2012,9,26,14,9,6.1,9.5,"E",0
"22446","NLA12_WI-183-2012-1","NLA12_WI-183",1,4,2012,9,26,14,9,6.1,9.6,"E",0
"22447","NLA12_WI-183-2012-1","NLA12_WI-183",1,5,2012,9,26,14,9,6.1,9.6,"E",0
"22448","NLA12_WI-183-2012-1","NLA12_WI-183",1,6,2012,9,26,14,9.1,6.1,9.6,"E",0
"22449","NLA12_WI-183-2012-1","NLA12_WI-183",1,7,2012,9,26,14,9,6.1,9.6,"E",0
"22450","NLA12_WI-183-2012-1","NLA12_WI-183",1,8,2012,9,26,13.9,8.9,6.1,9.6,"E",0
"22451","NLA12_WI-183-2012-1","NLA12_WI-183",1,9,2012,9,26,13.8,8.8,6,9.7,"E",0
"22452","NLA12_WI-183-2012-1","NLA12_WI-183",1,10,2012,9,26,13.8,8.7,6,9.7,"E",0
"22453","NLA12_WI-183-2012-1","NLA12_WI-183",1,11,2012,9,26,13.4,7.2,5.6,11,"M",0
"22454","NLA12_WI-183-2012-1","NLA12_WI-183",1,12,2012,9,26,10.6,0.5,5.9,48,"M",0
"22455","NLA12_WI-183-2012-1","NLA12_WI-183",1,12.5,2012,9,26,9.6,0.4,5.8,73,"M",0
