"","LakeID","Perimeter","CoarseNoPoints","CoarseMaxLength","FineNoPoints","FineMaxLength"
"1","NLA06608-R326",55280.8561076,111,890.767635539911,1687,1797.02880033437
"2","NLA06608-R323",43698.5871069,87,1095.12539914466,1323,1512.36161758907
"3","NLA06608-R322",135194.798556,270,2952.75372613343,3202,4086.83997854134
"4","NLA06608-0857",36373.1168585,73,3688.19907899987,1768,5296.41276253684
"5","NLA06608-0473",70007.110269,140,3730.89300121844,1276,4596.11322495881
"6","NLA06608-0361",361926.082523,724,5150.90176305872,1912,5646.45476795414
"7","NLA06608-FL:107895579",117956.168802,236,9744.94063642554,949,12039.5796999273
"8","NLA06608-1861",62476.5896314,125,17874.2780033188,484,19157.3884431864
"9","NLA06608-0618",43651.5055437,87,4163.33040589905,1317,5212.85580117023
"10","NLA06608-0651",31388.925826,63,2577.9575633432,1229,4269.60277224592
"11","NLA06608-0089",84214.9640733,168,2067.62218163193,1058,4919.80330146977
"12","NLA06608-0203",75195.9319045,150,1208.17223739438,2053,2389.54117080988
"13","NLA06608-0921",63716.0821377,127,2440.71796402691,2213,2979.78874169369
"14","NLA06608-1241",42125.0188614,84,923.817717383612,1016,2285.39031638726
"15","NLA06608-1323",140424.3534,281,7443.30153247677,1770,9040.08529385284
"16","NLA06608-2831",495308.416746,991,7929.50559034015,2265,8439.32440829347
"17","NLA06608-0291",42180.0505429,84,11432.9755451234,609,11459.0369765419
"18","NLA06608-1059",163307.788835,327,45772.5603062622,469,46077.6309404441
"19","NLA06608-0021",55150.5534955,110,21850.927348269,740,23961.7707982387
"20","NLA06608-0341",104289.650866,209,31000.5923829692,661,31883.7545774911
"21","NLA06608-0509",34222.0362637,68,2651.21621671275,888,3274.19672786948
"22","NLA06608-0111",62768.2675807,126,3906.70910609364,1862,4368.24324199533
"23","NLA06608-0863",32701.4808977,65,3532.60153396497,1303,4877.65608976252
"24","NLA06608-0893",40637.4772584,81,1092.46071051332,913,2534.75423853392
"25","NLA06608-0041",97970.9724954,196,2842.64923292957,1285,2835.50563084679
"26","NLA06608-1103",36028.1655433,72,5813.49387113835,910,5975.84057046166
"27","NLA06608-0580",66453.9844418,133,868.387597297451,925,1714.16085220335
"28","NLA06608-1652",204586.531611,409,3479.32698058762,750,4383.58066361291
"29","NLA06608-0847",59596.3341151,119,12581.6528619183,803,12953.2689987337
"30","NLA06608-0066",58269.4005846,117,2133.62909678161,903,2943.5503146905
"31","NLA06608-2507",53716.3431527,107,2165.22355629146,1207,3185.3250764516
"32","NLA06608-0239",142352.033044,285,6461.40005235191,1394,7717.12795147169
"33","NLA06608-0403",73848.3731616,148,11080.8963705919,505,11210.8956900622
"34","NLA06608-0238",37353.0347398,75,8941.99055913492,625,8952.77184888816
"35","NLA06608-0860",79128.8234166,158,2475.59704726881,1244,4087.69753463977
"36","NLA06608-0859",35159.3756968,70,2767.53569270784,1333,3097.09463135226
"37","NLA06608-0672",30830.6513139,62,4675.05798160178,867,4714.42773778569
"38","NLA06608-MN:06-0002",30577.7383712,61,4519.34481280006,1254,5449.23176670462
"39","NLA06608-0436",42305.7043459,85,2191.56401505934,1228,2855.87600630161
"40","NLA06608-4650",172678.418699,345,7569.03757780575,1077,7957.20202243197
"41","NLA06608-2524",39124.4581623,78,5272.68518281055,830,5775.70644984894
"42","NLA06608-1863",58349.4226138,117,2850.57567120011,2318,4149.59203852233
"43","NLA06608-1975",63606.9200361,127,8452.01073695294,683,8765.99863990218
"44","NLA06608-1052",44963.8858655,90,6825.32956106127,1079,7105.05378547201
"45","NLA06608-R736",129110.213884,258,8526.9303517856,1545,10289.0956363837
"46","NLA06608-0720",34060.2107397,68,4848.46323649707,1173,5125.62480413685
"47","NLA06608-R759",115436.14592,231,7284.89450299425,1861,7985.94249024094
"48","NLA06608-2874",59012.217276,118,3716.9518709428,1039,5228.15245213446
"49","NLA06608-0950",182492.436448,365,15572.8544488201,1392,19340.5261070487
"50","NLA06608-1959",55338.5844829,111,8172.31912488699,1428,8872.44933038392
"51","NLA06608-1120",35674.4466917,71,3257.76863061872,803,3919.52875061827
"52","NLA06608-4320",182317.070123,365,10161.8563113477,1563,11069.2760221183
"53","NLA06608-1960",46152.4947814,92,6050.41228309433,1748,6309.90850781705
"54","NLA06608-4643",39603.7288143,79,3067.99032823929,1202,3633.06042763658
"55","NLA06608-3320",86503.7274646,173,6940.94712659469,1904,7002.71859242727
"56","NLA06608-0244",194106.029157,388,10349.0651047548,1599,10628.141148073
"57","NLA06608-TX:30",391572.113796,783,14587.4841591209,1237,14796.7855511829
"58","NLA06608-0328",103747.733109,207,11648.4373493834,1983,13771.1869918773
"59","NLA06608-1800",363712.043135,727,13174.5713352041,1180,13198.9540138877
"60","NLA06608-0500",42288.6429786,85,1516.85505201992,1267,2719.74634098496
"61","NLA06608-1300",130842.173627,262,10434.9873692245,1061,10844.4613742732
"62","NLA06608-TX:22",43518.7393415,87,3618.43749926462,1219,4975.98596829837
"63","NLA06608-0456",178787.665438,358,15980.0079602679,970,17992.7686567664
"64","NLA06608-3083",634196.536878,1268,26864.0714612795,531,27711.0611210848
"65","NLA06608-3228",37185.0421764,74,4530.14519603056,1425,6662.54457694709
"66","NLA06608-2807",162528.875392,325,9151.47749013553,958,9371.47555466063
"67","NLA06608-0599",108143.632091,216,12496.3967851296,1428,13885.2372863947
"68","NLA06608-TX:29",98197.4719338,196,5585.65530133573,1357,6716.64090653818
"69","NLA06608-1436",33152.8219253,66,4027.37878018011,1024,4422.99326619339
"70","NLA06608-TX:5",178673.175833,357,16040.2936107705,816,16400.2625912651
"71","NLA06608-0144",35275.7197537,71,4189.28147285915,1300,6446.67951223883
"72","NLA06608-TX:14",141557.906438,283,13459.4690807158,917,13619.0505229431
"73","NLA06608-0260",54769.2272136,110,5376.02679174448,1246,6223.94687745818
"74","NLA06608-0116",33377.3911218,67,2324.26449069936,555,3364.01548565715
"75","NLA06608-0015",48904.8674742,98,841.653669074259,754,1384.99829046921
"76","NLA06608-0483",712617.077343,1425,13013.7140635016,1726,13376.988738736
"77","NLA06608-0495",39071.3318016,78,2265.79788431983,698,3649.05250801449
"78","NLA06608-1284",264604.589427,529,9754.11692821506,1099,11113.8368536054
"79","NLA06608-0637",135890.947862,272,12216.7185715349,1084,12472.5722438738
"80","NLA06608-1602",42603.8355503,85,2959.52119327449,1012,3790.66902823881
"81","NLA06608-0925",1120836.2998,2242,50530.1048137791,1338,50650.2457512402
"82","NLA06608-1893",36537.0751803,73,4709.31107515832,886,4877.78014221027
"83","NLA06608-2889",54283.0050317,109,22702.323128214,453,22936.6017059362
"84","NLA06608-1153",34522.6875453,69,14535.5042710279,535,14858.1398580998
"85","NLA06608-1057",31935.4229472,64,8957.61098529766,726,9685.42510770658
"86","NLA06608-0650",31614.4009147,63,6664.62216726867,846,7768.97009447438
"87","NLA06608-0561",39102.0362087,78,5194.01730089814,1148,7071.38075840364
"88","NLA06608-1958",46660.4451867,93,6209.91385536236,1070,6850.31904412043
"89","NLA06608-0849",49078.7215141,98,9509.62678652044,940,11491.3637776964
"90","NLA06608-0209",30797.6505152,62,8286.30132761835,868,8398.76415233488
"91","NLA06608-1873",34011.6132158,68,7219.21066482404,764,7420.31036241061
"92","NLA06608-0597",38582.906808,77,12856.4311540317,553,14112.3017822524
"93","NLA06608-3157",143901.971264,288,3414.94888152435,1118,4623.1036359761
