"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"668","NLA06608-0043-2007-1","NLA06608-0043",1,0,2007,7,31,26.8,7.9,8.4,NA,"E",0
"669","NLA06608-0043-2007-1","NLA06608-0043",1,1,2007,7,31,26.8,8,8.4,NA,"E",0
"670","NLA06608-0043-2007-1","NLA06608-0043",1,2,2007,7,31,26.5,8.1,8.4,NA,"E",0
"671","NLA06608-0043-2007-1","NLA06608-0043",1,3,2007,7,31,25.2,7.6,8.4,NA,"M",0
"672","NLA06608-0043-2007-1","NLA06608-0043",1,4,2007,7,31,23.3,6.1,8.2,NA,"M",0
"673","NLA06608-0043-2007-1","NLA06608-0043",1,5,2007,7,31,16.9,3.7,7.8,NA,"M",0
"674","NLA06608-0043-2007-1","NLA06608-0043",1,6,2007,7,31,13.1,0.3,7.6,NA,"M",0
"675","NLA06608-0043-2007-1","NLA06608-0043",1,7,2007,7,31,9.2,0.2,7.6,NA,"M",0
"676","NLA06608-0043-2007-1","NLA06608-0043",1,8,2007,7,31,8,0.1,7.6,NA,"M",0
"677","NLA06608-0043-2007-1","NLA06608-0043",1,9,2007,7,31,7.1,0.1,7.6,NA,"M",0
"678","NLA06608-0043-2007-1","NLA06608-0043",1,10,2007,7,31,6.7,0.1,7.6,NA,"M",0
"679","NLA06608-0043-2007-1","NLA06608-0043",1,11,2007,7,31,6.4,0.1,7.6,NA,"H",0
"680","NLA06608-0043-2007-1","NLA06608-0043",1,12,2007,7,31,6.3,0.1,7.6,NA,"H",0
"681","NLA06608-0043-2007-1","NLA06608-0043",1,13,2007,7,31,6.2,0,7.6,NA,"H",0
"682","NLA06608-0043-2007-1","NLA06608-0043",1,14,2007,7,31,6,0,7.5,NA,"H",0
"683","NLA06608-0043-2007-1","NLA06608-0043",1,15,2007,7,31,5.9,0,7.4,NA,"H",0
"684","NLA06608-0043-2007-1","NLA06608-0043",1,16,2007,7,31,5.9,0,7.3,NA,"H",0
