"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15233","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,0,2007,9,11,20.6,NA,7.5,23.5,"E",0
"15234","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,1,2007,9,11,20.6,NA,7.5,23.5,"E",0
"15235","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,2,2007,9,11,20.6,NA,7.4,23.5,"E",0
"15236","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,3,2007,9,11,20.5,NA,7.3,23.4,"E",0
"15237","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,4,2007,9,11,20.2,NA,7.2,23.7,"M",0
"15238","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,5,2007,9,11,17.6,NA,7,22.4,"M",0
"15239","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,6,2007,9,11,12,NA,6.4,18.5,"M",0
"15240","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,7,2007,9,11,8.9,NA,6.2,16.3,"M",0
"15241","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,8,2007,9,11,6.8,NA,6.1,15.2,"M",0
"15242","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,9,2007,9,11,5.9,NA,6,15,"M",0
"15243","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,10,2007,9,11,5.1,NA,5.9,15,"H",0
"15244","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,11,2007,9,11,4.9,NA,5.8,15.1,"H",0
"15245","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,12,2007,9,11,4.7,NA,5.8,15.3,"H",0
"15246","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,13,2007,9,11,4.6,NA,5.7,18.4,"H",0
"15247","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,14,2007,9,11,4.6,NA,5.7,27.3,"H",0
"15248","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,15,2007,9,11,4.5,NA,5.9,57.8,"H",0
"15249","NLA06608-ALSC:020149-2007-1","NLA06608-ALSC_020149",1,15.6,2007,9,11,4.5,NA,6,96.7,"H",0
