"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15306","NLA06608-ELS:1E1-096-2007-1","NLA06608-ELS_1E1-096",1,0,2007,8,9,22.3,7.41,6.47,19.8,"E",0
"15307","NLA06608-ELS:1E1-096-2007-1","NLA06608-ELS_1E1-096",1,0.5,2007,8,9,22.3,7.35,6.52,19.8,"E",0
"15308","NLA06608-ELS:1E1-096-2007-1","NLA06608-ELS_1E1-096",1,1,2007,8,9,22.3,7.3,6.52,19.8,"E",0
"15309","NLA06608-ELS:1E1-096-2007-1","NLA06608-ELS_1E1-096",1,1.5,2007,8,9,22.3,7.24,6.49,19.8,"E",0
"15310","NLA06608-ELS:1E1-096-2007-1","NLA06608-ELS_1E1-096",1,2,2007,8,9,22.3,7.25,6.51,19.8,"E",0
"15311","NLA06608-ELS:1E1-096-2007-1","NLA06608-ELS_1E1-096",1,2.5,2007,8,9,22.3,7.23,6.48,19.8,"E",0
"15312","NLA06608-ELS:1E1-096-2007-1","NLA06608-ELS_1E1-096",1,3,2007,8,9,22.3,7.22,6.46,19.8,"E",0
"15313","NLA06608-ELS:1E1-096-2007-1","NLA06608-ELS_1E1-096",1,3.5,2007,8,9,22.3,7.22,6.46,19.8,"E",0
"15314","NLA06608-ELS:1E1-096-2007-1","NLA06608-ELS_1E1-096",1,4,2007,8,9,22.3,7.21,6.48,19.8,"E",0
"15315","NLA06608-ELS:1E1-096-2007-1","NLA06608-ELS_1E1-096",1,4.5,2007,8,9,22.2,6.72,6.46,19.7,"E",0
