"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15397","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,0,2007,8,10,25.4,7.7,8,NA,"E",0
"15398","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,1,2007,8,10,24.5,7.4,8,NA,"E",0
"15399","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,2,2007,8,10,24.3,7.2,7.9,NA,"E",0
"15400","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,3,2007,8,10,23.7,6.8,7.9,NA,"E",0
"15401","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,4,2007,8,10,21,2,7.3,NA,"E",0
"15402","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,5,2007,8,10,15.8,0.2,7.1,NA,"E",0
"15403","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,6,2007,8,10,10.4,0.1,7,NA,"E",0
"15404","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,7,2007,8,10,8.1,0,7,NA,"E",0
"15405","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,8,2007,8,10,7.4,0,6.9,NA,"E",0
"15406","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,9,2007,8,10,6.7,0,6.9,NA,"E",0
"15407","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,10,2007,8,10,6.5,0,6.9,NA,"E",0
"15408","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,11,2007,8,10,6.5,0,6.9,NA,"E",0
"15409","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,12,2007,8,10,6.5,0,6.9,NA,"E",0
"15410","NLA06608-ELS:2D3-008-2007-1","NLA06608-ELS_2D3-008",1,13,2007,8,10,6.4,0,6.8,NA,"E",0
