"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15494","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,0,2007,8,10,22.6,8.83,6.89,21,"E",1
"15495","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,0.5,2007,8,10,22.6,8.74,6.97,21,"E",1
"15496","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,1,2007,8,10,22.3,8.73,6.98,21,"E",1
"15497","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,1.5,2007,8,10,21.9,8.76,6.99,21,"E",1
"15498","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,2,2007,8,10,21.8,8.73,7,21,"E",1
"15499","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,2.5,2007,8,10,21.7,8.73,6.99,21,"E",1
"15500","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,3,2007,8,10,21.7,8.74,7,21,"E",1
"15501","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,3.5,2007,8,10,21.6,8.7,6.99,21,"E",1
"15502","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,4,2007,8,10,21.5,8.69,6.97,21,"E",1
"15503","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,4.5,2007,8,10,21.5,8.68,6.96,21,"E",1
"15504","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,5,2007,8,10,21.4,8.63,6.93,21,"E",1
"15505","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,5.5,2007,8,10,21.4,8.64,6.92,21,"E",1
"15506","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,6,2007,8,10,21.3,8.61,6.92,21,"E",1
"15507","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,6.5,2007,8,10,20.5,8.56,6.73,21,"E",1
"15508","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,7,2007,8,10,16.2,8.53,6.38,19,"E",1
"15509","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,7.5,2007,8,10,14.3,8.46,6.26,18,"E",1
"15510","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,8,2007,8,10,12.2,8.33,6.19,17,"E",1
"15511","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,8.5,2007,8,10,11.5,8.25,6.17,17,"E",1
"15512","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,9,2007,8,10,10.9,8.31,6.16,17,"E",1
"15513","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,9.5,2007,8,10,10.6,8.3,6.15,16,"E",1
"15514","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,10,2007,8,10,10.2,8.23,6.12,16,"E",1
"15515","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,10.5,2007,8,10,10.1,8.22,6.09,16,"E",1
"15516","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,11.5,2007,8,10,9.88,8.17,6.11,16,"E",1
"15517","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,12.5,2007,8,10,9.75,8.11,6.1,16,"E",1
"15518","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,13.5,2007,8,10,9.62,8.1,6.09,16,"E",1
"15519","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,14.5,2007,8,10,9.49,8.04,6.08,16,"E",1
"15520","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,15.5,2007,8,10,9.47,8.05,6.07,16,"E",1
"15521","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,16.5,2007,8,10,9.41,8.07,6.06,16,"E",1
"15522","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,17.5,2007,8,10,9.3,7.97,6.06,16,"E",1
"15523","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,18.5,2007,8,10,9.26,7.94,6.05,16,"E",1
"15524","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,19.5,2007,8,10,9.25,7.95,6.05,16,"E",1
"15525","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,20.5,2007,8,10,9.14,7.93,6.03,16,"E",1
"15526","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,21.5,2007,8,10,9.1,7.86,6.04,16,"E",1
"15527","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,22.5,2007,8,10,9.09,7.85,6.03,16,"E",1
"15528","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,23.5,2007,8,10,9.08,7.84,6.03,16,"E",1
"15529","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,24.5,2007,8,10,9.07,7.84,6.03,16,"E",1
"15530","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,25.5,2007,8,10,9.03,7.79,6.03,16,"E",1
"15531","NLA06608-EMAP:ME518L-2007-1","NLA06608-EMAP_ME518L",1,26.5,2007,8,10,9.02,7.75,6.03,16,"E",1
