"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15592","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,0,2007,7,31,27.9,8,8.2,NA,"E",0
"15593","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,1,2007,7,31,27.3,8.1,8.2,NA,"E",0
"15594","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,2,2007,7,31,26.6,8.3,8.2,NA,"E",0
"15595","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,3,2007,7,31,26,8.2,8.2,NA,"M",0
"15596","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,4,2007,7,31,24.7,8.2,8.1,NA,"M",0
"15597","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,5,2007,7,31,20.8,9.9,8,NA,"M",0
"15598","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,6,2007,7,31,13.5,11.7,8,NA,"M",0
"15599","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,7,2007,7,31,10.2,11.5,8,NA,"M",0
"15600","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,8,2007,7,31,8.1,9.8,7.9,NA,"M",0
"15601","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,9,2007,7,31,7.3,9.5,7.8,NA,"H",0
"15602","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,10,2007,7,31,6.6,7.3,7.6,NA,"H",0
"15603","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,11,2007,7,31,6.1,5.6,7.5,NA,"H",0
"15604","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,12,2007,7,31,6,5.5,7.5,NA,"H",0
"15605","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,13,2007,7,31,5.8,5.5,7.5,NA,"H",0
"15606","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,14,2007,7,31,5.7,5.1,7.5,NA,"H",0
"15607","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,15,2007,7,31,5.7,4.4,7.5,NA,"H",0
"15608","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,16,2007,7,31,5.6,3.9,7.4,NA,"H",0
"15609","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,17,2007,7,31,5.6,3.2,7.4,NA,"H",0
"15610","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,18,2007,7,31,5.5,2.7,7.4,NA,"H",0
"15611","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,19,2007,7,31,5.5,2.1,7.4,NA,"H",0
"15612","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,20,2007,7,31,5.4,0.2,7.3,NA,"H",0
"15613","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,22,2007,7,31,5.4,0,7.3,NA,"H",0
"15614","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,24,2007,7,31,5.4,0,6.7,NA,"H",0
"15615","NLA06608-IN:646-2007-1","NLA06608-IN_646",1,24.6,2007,7,31,5.4,0,6.8,NA,"H",0
