"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15760","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,0,2007,9,16,17,8.3,8.2,372,"E",0
"15761","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,1,2007,9,16,17,8.3,8.1,372,"E",0
"15762","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,2,2007,9,16,17,8.2,8.1,372,"E",0
"15763","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,3,2007,9,16,17,8.2,8.1,372,"E",0
"15764","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,4,2007,9,16,17,8.2,8.1,372,"E",0
"15765","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,5,2007,9,16,16.9,8.2,8.1,372,"E",0
"15766","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,6,2007,9,16,16.9,8.2,8.1,372,"E",0
"15767","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,7,2007,9,16,13.3,1.3,7.3,723,"M",0
"15768","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,8,2007,9,16,9,1.3,7.3,440,"M",0
"15769","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,9,2007,9,16,7.7,1.4,7.4,440,"M",0
"15770","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,10,2007,9,16,7.2,1.4,7.4,444,"M",0
"15771","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,11,2007,9,16,6.8,1.4,7.4,445,"H",0
"15772","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,12,2007,9,16,6.3,1.4,7.4,447,"H",0
"15773","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,13,2007,9,16,6,1.4,7.3,455,"H",0
"15774","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,14,2007,9,16,5.8,1.3,7.2,465,"H",0
"15775","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,15,2007,9,16,5.6,1.4,7.1,474,"H",0
"15776","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,16,2007,9,16,5.6,1.4,7.1,477,"H",0
"15777","NLA06608-MN:77-0019-2007-1","NLA06608-MN_77-0019",1,17,2007,9,16,5.7,1.4,7.2,485,"H",0
