"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"15783","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,0,2007,8,8,23.4,8.08,6.65,19,"E",0
"15784","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,0.5,2007,8,8,23.4,8.1,6.69,19,"E",0
"15785","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,1,2007,8,8,23.4,8.06,6.69,19,"E",0
"15786","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,1.5,2007,8,8,23.4,8.05,6.7,19,"E",0
"15787","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,2,2007,8,8,23.4,8.05,6.68,19,"E",0
"15788","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,2.5,2007,8,8,23.4,8.03,6.67,19,"E",0
"15789","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,3,2007,8,8,23.4,8.03,6.69,19,"E",0
"15790","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,3.5,2007,8,8,23.4,8.01,6.7,19,"E",0
"15791","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,4,2007,8,8,23.4,8.01,6.69,19,"E",0
"15792","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,4.5,2007,8,8,23.4,8.01,6.68,19,"E",0
"15793","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,5,2007,8,8,23.4,8.01,6.68,19,"E",0
"15794","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,5.5,2007,8,8,23.4,8.02,6.67,19,"E",0
"15795","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,6,2007,8,8,23.3,8.02,6.67,19,"E",0
"15796","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,6.5,2007,8,8,20.9,8.84,6.52,18,"E",0
"15797","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,7,2007,8,8,19,9.26,6.44,17,"E",0
"15798","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,7.5,2007,8,8,17.8,9.68,6.39,17,"E",0
"15799","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,8,2007,8,8,16.1,9.98,6.3,16,"E",0
"15800","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,8.5,2007,8,8,14.6,10.22,6.21,15,"E",0
"15801","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,9,2007,8,8,13.1,10.2,6.08,15,"E",0
"15802","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,9.5,2007,8,8,12.15,10.1,6.03,14,"E",0
"15803","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,10,2007,8,8,11.5,10.2,6.02,14,"E",0
"15804","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,10.5,2007,8,8,10.8,9.91,5.97,14,"E",0
"15805","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,11,2007,8,8,10.4,9.73,5.94,14,"E",0
"15806","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,11.5,2007,8,8,10.2,9.51,5.89,14,"E",0
"15807","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,12,2007,8,8,9.87,9.7,5.9,14,"E",0
"15808","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,13,2007,8,8,9.51,9.27,5.85,14,"E",0
"15809","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,14,2007,8,8,9.33,9.01,5.82,14,"E",0
"15810","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,15,2007,8,8,9.2,8.92,5.78,13,"E",0
"15811","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,16,2007,8,8,9.11,8.83,5.77,13,"E",0
"15812","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,17,2007,8,8,9.07,8.74,5.78,13,"E",0
"15813","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,18,2007,8,8,8.88,8.56,5.73,13,"E",0
"15814","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,19,2007,8,8,9.79,8.43,5.73,13,"E",0
"15815","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,20,2007,8,8,8.76,8.33,5.72,13,"E",0
"15816","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,21,2007,8,8,8.73,8.26,5.71,13,"E",0
"15817","NLA06608-NELP-0253-2007-1","NLA06608-NELP-0253",1,22,2007,8,8,8.7,8.12,5.71,13,"E",0
