"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16110","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,0,2007,8,16,17.1,9,9.2,55.4,"E",0
"16111","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,1,2007,8,16,16.2,9.2,9.2,53.8,"E",0
"16112","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,2,2007,8,16,16.2,9.2,9.2,53.9,"E",0
"16113","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,3,2007,8,16,16.1,9.1,9.2,53.7,"E",0
"16114","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,4,2007,8,16,16.1,9.1,9.1,53.7,"E",0
"16115","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,5,2007,8,16,15.9,9,9.1,53.6,"E",0
"16116","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,6,2007,8,16,15.8,9,9,53.3,"E",0
"16117","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,7,2007,8,16,15.6,9,9,53,"E",0
"16118","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,8,2007,8,16,14.9,9,8.9,50.8,"E",0
"16119","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,9,2007,8,16,11.5,9.2,8,39.9,"M",0
"16120","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,10,2007,8,16,9.9,9.4,7.8,37.8,"M",0
"16121","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,11,2007,8,16,8.9,4.9,7.3,36.7,"M",0
"16122","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,12,2007,8,16,8.3,2.3,7.1,35.9,"M",0
"16123","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,13,2007,8,16,8.1,2.3,7,35.7,"H",0
"16124","NLA06608-R10BULLTR-2007-1","NLA06608-R10BULLTR",1,14,2007,8,16,7.9,0.5,6.9,36.4,"H",0
