"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16180","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,0,2007,8,7,18.9,8.4,6.8,10.6,"E",0
"16181","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,1,2007,8,7,18.9,8.1,6.8,10.6,"E",0
"16182","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,2,2007,8,7,18.9,7.9,6.8,10.6,"E",0
"16183","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,3,2007,8,7,18.9,7.9,6.7,10.5,"E",0
"16184","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,4,2007,8,7,18.9,7.9,6.7,10.5,"E",0
"16185","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,5,2007,8,7,18.9,7.8,6.7,10.5,"E",0
"16186","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,6,2007,8,7,18.8,7.8,6.7,10.4,"E",0
"16187","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,7,2007,8,7,18.7,7.8,6.7,10.6,"M",0
"16188","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,8,2007,8,7,18,7.8,6.7,10.2,"M",0
"16189","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,9,2007,8,7,14,9.9,6.6,8.8,"M",0
"16190","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,10,2007,8,7,12.1,10.2,6.6,8.1,"M",0
"16191","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,11,2007,8,7,10.7,10.6,6.6,7.6,"M",0
"16192","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,12,2007,8,7,9.4,10.6,6.6,7.2,"M",0
"16193","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,13,2007,8,7,8.4,10.8,6.5,6.9,"M",0
"16194","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,14,2007,8,7,7.9,10.7,6.5,6.8,"H",0
"16195","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,15,2007,8,7,7.6,10.6,6.4,6.7,"H",0
"16196","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,16,2007,8,7,7.2,10.5,6.4,6.6,"H",0
"16197","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,17,2007,8,7,7.1,10.4,6.3,6.6,"H",0
"16198","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,18,2007,8,7,7,10.2,6.3,6.5,"H",0
"16199","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,19,2007,8,7,6.9,10.2,6.3,6.6,"H",0
"16200","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,20,2007,8,7,6.8,10,6.2,6.5,"H",0
"16201","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,22,2007,8,7,6.6,9.9,6.1,6.2,"H",0
"16202","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,24,2007,8,7,6.4,9.8,6.1,6.3,"H",0
"16203","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,26,2007,8,7,6.2,9.6,6.1,6.3,"H",0
"16204","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,28,2007,8,7,6.2,9.3,6,6.3,"H",0
"16205","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,30,2007,8,7,6.2,9.2,6,6.2,"H",0
"16206","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,32,2007,8,7,6.1,9.1,5.9,6.4,"H",0
"16207","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,34,2007,8,7,6.1,9,5.9,6.2,"H",0
"16208","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,36,2007,8,7,6.1,9,5.8,6.2,"H",0
"16209","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,38,2007,8,7,6.1,8.9,5.8,6.2,"H",0
"16210","NLA06608-R10FOURMI-2007-1","NLA06608-R10FOURMI",1,40,2007,8,7,6,8.8,5.8,6.2,"H",0
