"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16825","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,0,2007,9,15,28.3,6.7,6.2,80.4,"E",0
"16826","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,1,2007,9,15,28.4,6.6,6.2,80.6,"E",0
"16827","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,2,2007,9,15,28.4,6.6,6.3,80.6,"E",0
"16828","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,3,2007,9,15,28.4,6.6,6.4,80.6,"E",0
"16829","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,4,2007,9,15,28.4,6.5,6.4,80.6,"E",0
"16830","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,5,2007,9,15,28.1,4.2,6.3,80.1,"E",0
"16831","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,6,2007,9,15,26.2,1.3,6.2,85.2,"E",0
"16832","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,7,2007,9,15,22.4,0.8,6,88.6,"E",0
"16833","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,8,2007,9,15,20.6,0.7,6,87.6,"E",0
"16834","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,9,2007,9,15,20,0.6,6,90.8,"E",0
"16835","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,10,2007,9,15,20.1,0.5,6,91.9,"E",0
"16836","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,11,2007,9,15,20.4,0.5,6,92.6,"E",0
"16837","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,12,2007,9,15,20.4,0.5,6,93.5,"E",0
"16838","NLA06608-TX:19-2007-1","NLA06608-TX_19",1,12.3,2007,9,15,20.4,0.5,6,93.5,"E",0
