"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16404","NLA06608-R324-2012-1","NLA06608-R324",1,0,2012,8,1,29.8,8.3,8.6,125,"E",1
"16405","NLA06608-R324-2012-1","NLA06608-R324",1,0.5,2012,8,1,29.8,8.4,8.7,125,"E",1
"16406","NLA06608-R324-2012-1","NLA06608-R324",1,1,2012,8,1,29.8,8.4,8.7,126,"E",1
"16407","NLA06608-R324-2012-1","NLA06608-R324",1,2,2012,8,1,29.8,8.4,8.7,125,"E",1
"16408","NLA06608-R324-2012-1","NLA06608-R324",1,3,2012,8,1,29.8,8.4,8.7,125,"E",1
"16409","NLA06608-R324-2012-1","NLA06608-R324",1,4,2012,8,1,29.8,8.4,8.7,125,"E",1
"16410","NLA06608-R324-2012-1","NLA06608-R324",1,5,2012,8,1,26.4,9.4,8.4,129,"M",1
"16411","NLA06608-R324-2012-1","NLA06608-R324",1,6,2012,8,1,22,4,8.2,129,"M",1
"16412","NLA06608-R324-2012-1","NLA06608-R324",1,7,2012,8,1,18.7,1.6,8,129,"M",1
"16413","NLA06608-R324-2012-1","NLA06608-R324",1,8,2012,8,1,15.2,0.6,7.9,133,"M",1
"16414","NLA06608-R324-2012-1","NLA06608-R324",1,9,2012,8,1,13,0.6,7.8,142,"M",1
"16415","NLA06608-R324-2012-1","NLA06608-R324",1,10,2012,8,1,12.3,0.6,7.6,142,"H",1
"16416","NLA06608-R324-2012-1","NLA06608-R324",1,11,2012,8,1,11.7,0.5,7.4,148,"H",1
"16417","NLA06608-R324-2012-1","NLA06608-R324",1,12,2012,8,1,11.7,0.5,7.4,149,"H",1
"16418","NLA06608-R324-2012-1","NLA06608-R324",1,13,2012,8,1,11.7,0.5,7.4,151,"H",1
"16419","NLA06608-R324-2012-1","NLA06608-R324",1,13.5,2012,8,1,11.7,0.5,7.4,154,"H",1
