"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16525","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,0,2012,6,21,20.8,9.3,8.6,224,"E",1
"16526","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,0.5,2012,6,21,20.8,9.3,8.6,224,"E",1
"16527","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,1,2012,6,21,20.8,9.3,8.6,224,"E",1
"16528","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,2,2012,6,21,20.8,9.3,8.6,224,"E",1
"16529","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,3,2012,6,21,20.8,9.2,8.6,224,"E",1
"16530","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,4,2012,6,21,20.7,9.2,8.6,224,"E",1
"16531","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,5,2012,6,21,20.7,9.1,8.6,224,"E",1
"16532","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,6,2012,6,21,19.3,7.8,8.6,224,"M",1
"16533","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,7,2012,6,21,18.7,6.8,8.6,225,"M",1
"16534","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,8,2012,6,21,17.4,5.5,8.6,225,"M",1
"16535","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,9,2012,6,21,14.6,2.8,8.5,225,"M",1
"16536","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,10,2012,6,21,10,0,8.4,227,"M",1
"16537","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,11,2012,6,21,9.3,0,8.2,229,"H",1
"16538","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,12,2012,6,21,8.6,0,8,229,"H",1
"16539","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,13,2012,6,21,8.3,0,8,229,"H",1
"16540","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,14,2012,6,21,8.1,0,7.9,229,"H",1
"16541","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,15,2012,6,21,8,0,7.9,230,"H",1
"16542","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,16,2012,6,21,7.9,0,7.8,230,"H",1
"16543","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,17,2012,6,21,7.7,0,7.7,230,"H",1
"16544","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,18,2012,6,21,7.7,0,7.7,230,"H",1
"16545","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,19,2012,6,21,7.4,0,7.7,230,"H",1
"16546","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,20,2012,6,21,7.4,0,7.6,230,"H",1
"16547","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,22,2012,6,21,7.3,0,7.6,230,"H",1
"16548","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,24,2012,6,21,7.2,0,7.5,231,"H",1
"16549","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,26,2012,6,21,6.9,0,7.4,232,"H",1
"16550","NLA06608-R5:OTTAWA-2012-1","NLA06608-R5_OTTAWA",1,26.5,2012,6,21,6.9,0,7.3,238,"H",1
