"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"16961","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,0,2012,5,10,22.1,9.27,8.5,550,"E",0
"16962","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,1,2012,5,10,21.9,9.8,8.6,551,"E",0
"16963","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,2,2012,5,10,21.9,9.8,8.4,551,"E",0
"16964","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,3,2012,5,10,21.9,9.8,8.3,549,"E",0
"16965","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,4,2012,5,10,21.8,9.8,8.3,549,"E",0
"16966","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,5,2012,5,10,21.8,9.8,8.3,549,"E",0
"16967","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,6,2012,5,10,21.6,9.2,8.2,550,"M",0
"16968","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,7,2012,5,10,18.4,7.2,8.1,558,"M",0
"16969","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,8,2012,5,10,18.2,6.2,8,563,"M",0
"16970","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,9,2012,5,10,17.3,5.5,7.9,569,"M",0
"16971","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,10,2012,5,10,16.7,4.8,7.9,573,"H",0
"16972","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,11,2012,5,10,15.7,3.7,7.9,581,"H",0
"16973","NLA12_AZ-130-2012-1","NLA12_AZ-130",1,12,2012,5,10,15.3,2.9,7.8,581,"H",0
