"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"17070","NLA12_CA-119-2012-1","NLA12_CA-119",1,0,2012,8,7,NA,8.05,NA,NA,"E",0
"17071","NLA12_CA-119-2012-1","NLA12_CA-119",1,1,2012,8,7,25.3,8.1,8.1,58,"E",0
"17072","NLA12_CA-119-2012-1","NLA12_CA-119",1,2,2012,8,7,25.3,8.1,8.1,58,"E",0
"17073","NLA12_CA-119-2012-1","NLA12_CA-119",1,3,2012,8,7,25.3,8.1,8.1,58,"E",0
"17074","NLA12_CA-119-2012-1","NLA12_CA-119",1,4,2012,8,7,25.2,8.1,8,58,"E",0
"17075","NLA12_CA-119-2012-1","NLA12_CA-119",1,5,2012,8,7,25.2,8.1,8,58,"E",0
"17076","NLA12_CA-119-2012-1","NLA12_CA-119",1,6,2012,8,7,25.1,8.1,8,58,"E",0
"17077","NLA12_CA-119-2012-1","NLA12_CA-119",1,7,2012,8,7,23.9,8.3,8,56,"M",0
"17078","NLA12_CA-119-2012-1","NLA12_CA-119",1,8,2012,8,7,22.2,8.3,7.8,54,"M",0
"17079","NLA12_CA-119-2012-1","NLA12_CA-119",1,9,2012,8,7,21.4,8.2,7.7,53,"M",0
"17080","NLA12_CA-119-2012-1","NLA12_CA-119",1,10,2012,8,7,20,8.3,7.6,51,"M",0
"17081","NLA12_CA-119-2012-1","NLA12_CA-119",1,11,2012,8,7,19.5,8,7.4,50,"M",0
"17082","NLA12_CA-119-2012-1","NLA12_CA-119",1,12,2012,8,7,18.9,7.8,7.4,50,"H",0
"17083","NLA12_CA-119-2012-1","NLA12_CA-119",1,13,2012,8,7,17.4,7.8,7.3,50,"M",0
"17084","NLA12_CA-119-2012-1","NLA12_CA-119",1,14,2012,8,7,16.3,7.4,7.2,50,"M",0
"17085","NLA12_CA-119-2012-1","NLA12_CA-119",1,15,2012,8,7,15.8,7.3,7.1,51,"M",0
"17086","NLA12_CA-119-2012-1","NLA12_CA-119",1,16,2012,8,7,14.6,7.3,7,52,"M",0
"17087","NLA12_CA-119-2012-1","NLA12_CA-119",1,17,2012,8,7,14,7.2,7,52,"M",0
"17088","NLA12_CA-119-2012-1","NLA12_CA-119",1,18,2012,8,7,13.5,7.1,7,53,"H",0
"17089","NLA12_CA-119-2012-1","NLA12_CA-119",1,19,2012,8,7,13.3,7,7,53,"H",0
"17090","NLA12_CA-119-2012-1","NLA12_CA-119",1,20,2012,8,7,12.9,7,6.9,53,"H",0
"17091","NLA12_CA-119-2012-1","NLA12_CA-119",1,22,2012,8,7,12.5,7,6.9,53,"H",0
"17092","NLA12_CA-119-2012-1","NLA12_CA-119",1,24,2012,8,7,12.2,6.9,6.9,53,"H",0
"17093","NLA12_CA-119-2012-1","NLA12_CA-119",1,26,2012,8,7,12,6.8,6.9,53,"H",0
"17094","NLA12_CA-119-2012-1","NLA12_CA-119",1,28,2012,8,7,11.8,6.9,6.9,53,"H",0
"17095","NLA12_CA-119-2012-1","NLA12_CA-119",1,30,2012,8,7,11.5,6.9,NA,53,"H",0
"17096","NLA12_CA-119-2012-1","NLA12_CA-119",1,32,2012,8,7,11.5,6.9,6.8,53,"H",0
"17097","NLA12_CA-119-2012-1","NLA12_CA-119",1,32.5,2012,8,7,11.4,6.9,6.8,53,"H",0
