"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"17423","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,0,2012,7,17,21.1,8.48,8.35,61,"E",0
"17424","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,1,2012,7,17,21.1,8.66,8.33,61,"E",0
"17425","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,2,2012,7,17,21.1,8.66,8.27,61,"E",0
"17426","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,3,2012,7,17,21.09,8.73,8.32,61,"E",0
"17427","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,4,2012,7,17,15.66,10.46,7.39,63,"M",0
"17428","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,5,2012,7,17,11.34,4.6,6.86,65,"M",0
"17429","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,6,2012,7,17,7.4,1.53,6.67,67,"M",0
"17430","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,7,2012,7,17,6.08,0.71,6.56,69,"M",0
"17431","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,8,2012,7,17,4.86,0.43,6.51,77,"M",0
"17432","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,9,2012,7,17,4.4,0.3,6.45,81,"H",0
"17433","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,10,2012,7,17,4.31,0.22,6.37,87,"H",0
"17434","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,11,2012,7,17,4.37,0.28,6.33,107,"H",0
"17435","NLA12_CA-R10-2012-1","NLA12_CA-R10",1,12,2012,7,17,4.51,0.15,6.31,143,"H",0
