"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"17584","NLA12_CT-118-2012-1","NLA12_CT-118",1,0,2012,7,17,28.75,7.905,7.5,143.5,"E",0
"17585","NLA12_CT-118-2012-1","NLA12_CT-118",1,1,2012,7,17,28.6,8.03,7.7,143,"E",0
"17586","NLA12_CT-118-2012-1","NLA12_CT-118",1,2,2012,7,17,28.6,8.03,7.7,143,"E",0
"17587","NLA12_CT-118-2012-1","NLA12_CT-118",1,3,2012,7,17,28.3,8.17,7.9,143,"E",0
"17588","NLA12_CT-118-2012-1","NLA12_CT-118",1,4,2012,7,17,27.5,8.02,7.6,142,"E",0
"17589","NLA12_CT-118-2012-1","NLA12_CT-118",1,5,2012,7,17,23.3,9.6,7.4,141,"M",0
"17590","NLA12_CT-118-2012-1","NLA12_CT-118",1,6,2012,7,17,18.8,10.46,7.1,140,"M",0
"17591","NLA12_CT-118-2012-1","NLA12_CT-118",1,7,2012,7,17,15.6,3.43,5.9,141,"M",0
"17592","NLA12_CT-118-2012-1","NLA12_CT-118",1,8,2012,7,17,13.6,0.52,5.7,142,"M",0
"17593","NLA12_CT-118-2012-1","NLA12_CT-118",1,8.7,2012,7,17,13,0.37,5.6,144,"H",0
