"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"17698","NLA12_GA-118-2012-1","NLA12_GA-118",1,0,2012,6,28,25.715,8.625,6.345,25.1,"E",0
"17699","NLA12_GA-118-2012-1","NLA12_GA-118",1,1,2012,6,28,25.51,8.63,6.31,24.9,"E",0
"17700","NLA12_GA-118-2012-1","NLA12_GA-118",1,2,2012,6,28,25.4,8.63,6.3,25.1,"E",0
"17701","NLA12_GA-118-2012-1","NLA12_GA-118",1,3,2012,6,28,25.33,8.68,6.32,25,"E",0
"17702","NLA12_GA-118-2012-1","NLA12_GA-118",1,4,2012,6,28,24.91,8.9,6.05,24.6,"E",0
"17703","NLA12_GA-118-2012-1","NLA12_GA-118",1,5,2012,6,28,23.04,9.46,6.21,26.8,"M",0
"17704","NLA12_GA-118-2012-1","NLA12_GA-118",1,6,2012,6,28,20.64,9.74,6.08,24.6,"M",0
"17705","NLA12_GA-118-2012-1","NLA12_GA-118",1,7,2012,6,28,16.7,4.19,5.3,27.8,"M",0
"17706","NLA12_GA-118-2012-1","NLA12_GA-118",1,8,2012,6,28,14.31,0.45,5.2,30.8,"M",0
"17707","NLA12_GA-118-2012-1","NLA12_GA-118",1,9,2012,6,28,13.19,0.2,5.72,56.8,"M",0
"17708","NLA12_GA-118-2012-1","NLA12_GA-118",1,9.2,2012,6,28,12.58,0.17,5.91,70.8,"M",0
