"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"17728","NLA12_IA-113-2012-1","NLA12_IA-113",1,0,2012,6,28,26.65,12.95,7.9,264,"E",0
"17729","NLA12_IA-113-2012-1","NLA12_IA-113",1,1,2012,6,28,26.4,12.5,7.8,264,"E",0
"17730","NLA12_IA-113-2012-1","NLA12_IA-113",1,2,2012,6,28,26.3,12.1,7.7,264,"E",0
"17731","NLA12_IA-113-2012-1","NLA12_IA-113",1,3,2012,6,28,26.2,11.6,7.6,265,"E",0
"17732","NLA12_IA-113-2012-1","NLA12_IA-113",1,4,2012,6,28,26.2,11.6,7.6,265,"E",0
"17733","NLA12_IA-113-2012-1","NLA12_IA-113",1,5,2012,6,28,26.2,11.9,7.7,265,"E",0
"17734","NLA12_IA-113-2012-1","NLA12_IA-113",1,6,2012,6,28,26.2,11.5,7.6,265,"M",0
"17735","NLA12_IA-113-2012-1","NLA12_IA-113",1,7,2012,6,28,24.5,3.9,7.4,268,"M",0
"17736","NLA12_IA-113-2012-1","NLA12_IA-113",1,8,2012,6,28,23.7,0.7,7,269,"H",0
"17737","NLA12_IA-113-2012-1","NLA12_IA-113",1,9,2012,6,28,20.4,0.6,6.7,279,"H",0
"17738","NLA12_IA-113-2012-1","NLA12_IA-113",1,10,2012,6,28,17.4,0.4,6.5,280,"H",0
