"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"17931","NLA12_ID-168-2012-1","NLA12_ID-168",1,0.07,2012,7,2,14.64,8.47,6.68,8,"E",0
"17932","NLA12_ID-168-2012-1","NLA12_ID-168",1,0.09,2012,7,2,14.56,9.08,6.96,8,"E",0
"17933","NLA12_ID-168-2012-1","NLA12_ID-168",1,1.36,2012,7,2,14.51,8.68,6.86,8,"E",0
"17934","NLA12_ID-168-2012-1","NLA12_ID-168",1,2.34,2012,7,2,14.01,8.66,6.89,8,"E",0
"17935","NLA12_ID-168-2012-1","NLA12_ID-168",1,3.31,2012,7,2,13.29,8.79,6.91,8,"E",0
"17936","NLA12_ID-168-2012-1","NLA12_ID-168",1,4.3,2012,7,2,13.07,8.87,6.81,7,"E",0
"17937","NLA12_ID-168-2012-1","NLA12_ID-168",1,5.32,2012,7,2,12.32,8.47,6.72,8,"E",0
"17938","NLA12_ID-168-2012-1","NLA12_ID-168",1,6.25,2012,7,2,10.97,8.8,6.74,7,"E",0
"17939","NLA12_ID-168-2012-1","NLA12_ID-168",1,7.25,2012,7,2,9.98,9.04,6.74,7,"E",0
"17940","NLA12_ID-168-2012-1","NLA12_ID-168",1,8.15,2012,7,2,9.47,9.01,6.74,7,"E",0
"17941","NLA12_ID-168-2012-1","NLA12_ID-168",1,9.16,2012,7,2,9.17,9.16,6.7,7,"E",0
"17942","NLA12_ID-168-2012-1","NLA12_ID-168",1,10.21,2012,7,2,8.94,9.15,6.69,7,"E",0
"17943","NLA12_ID-168-2012-1","NLA12_ID-168",1,11.17,2012,7,2,8.82,9.15,6.66,7,"E",0
"17944","NLA12_ID-168-2012-1","NLA12_ID-168",1,12.23,2012,7,2,8.49,9.02,6.64,7,"E",0
"17945","NLA12_ID-168-2012-1","NLA12_ID-168",1,13.17,2012,7,2,8.32,9.22,6.65,7,"E",0
"17946","NLA12_ID-168-2012-1","NLA12_ID-168",1,14.18,2012,7,2,8.07,9.19,6.62,7,"E",0
"17947","NLA12_ID-168-2012-1","NLA12_ID-168",1,15.19,2012,7,2,8,9.24,6.58,7,"E",0
"17948","NLA12_ID-168-2012-1","NLA12_ID-168",1,16.17,2012,7,2,7.67,9.18,6.59,7,"E",0
"17949","NLA12_ID-168-2012-1","NLA12_ID-168",1,17.2,2012,7,2,7.45,9.2,6.54,7,"E",0
"17950","NLA12_ID-168-2012-1","NLA12_ID-168",1,18.13,2012,7,2,6.98,9.28,6.46,7,"E",0
"17951","NLA12_ID-168-2012-1","NLA12_ID-168",1,19.04,2012,7,2,6.74,9.12,6.44,7,"E",0
"17952","NLA12_ID-168-2012-1","NLA12_ID-168",1,20.1,2012,7,2,6.71,8.94,6.43,7,"E",0
"17953","NLA12_ID-168-2012-1","NLA12_ID-168",1,21.19,2012,7,2,6.45,8.84,6.4,7,"E",0
"17954","NLA12_ID-168-2012-1","NLA12_ID-168",1,22.21,2012,7,2,6.37,8.7,6.37,7,"E",0
"17955","NLA12_ID-168-2012-1","NLA12_ID-168",1,23.24,2012,7,2,6.35,8.7,6.33,7,"E",0
"17956","NLA12_ID-168-2012-1","NLA12_ID-168",1,24.16,2012,7,2,6.32,8.65,6.33,7,"E",0
"17957","NLA12_ID-168-2012-1","NLA12_ID-168",1,25.09,2012,7,2,6.3,8.57,6.32,8,"E",0
