"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"18117","NLA12_IL-111-2012-1","NLA12_IL-111",1,0,2012,9,12,24.9,8.35,8.55,237.5,"E",0
"18118","NLA12_IL-111-2012-1","NLA12_IL-111",1,1,2012,9,12,24.8,7.5,8.4,238,"E",0
"18119","NLA12_IL-111-2012-1","NLA12_IL-111",1,2,2012,9,12,24.7,6.3,8.3,239,"E",0
"18120","NLA12_IL-111-2012-1","NLA12_IL-111",1,3,2012,9,12,24.7,4.9,8.1,240,"E",0
"18121","NLA12_IL-111-2012-1","NLA12_IL-111",1,4,2012,9,12,24.7,6.3,8.1,238,"E",0
"18122","NLA12_IL-111-2012-1","NLA12_IL-111",1,5,2012,9,12,24.6,2.9,7,239,"E",0
"18123","NLA12_IL-111-2012-1","NLA12_IL-111",1,6,2012,9,12,24.5,1.6,7.7,240,"E",0
"18124","NLA12_IL-111-2012-1","NLA12_IL-111",1,7,2012,9,12,24.3,0.9,7.6,242,"E",0
"18125","NLA12_IL-111-2012-1","NLA12_IL-111",1,8,2012,9,12,24.2,0.4,7.5,242,"M",0
"18126","NLA12_IL-111-2012-1","NLA12_IL-111",1,9,2012,9,12,21.4,0.3,7.6,356,"M",0
"18127","NLA12_IL-111-2012-1","NLA12_IL-111",1,9.5,2012,9,12,19.5,0.2,7.7,436,"M",0
