"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"18246","NLA12_IN-134-2012-1","NLA12_IN-134",1,0,2012,8,6,27.77,6.97,6.86,199.5,"E",0
"18247","NLA12_IN-134-2012-1","NLA12_IN-134",1,1,2012,8,6,27.62,6.5,6.86,199,"E",0
"18248","NLA12_IN-134-2012-1","NLA12_IN-134",1,2,2012,8,6,27.35,6.19,6.91,200,"E",0
"18249","NLA12_IN-134-2012-1","NLA12_IN-134",1,3,2012,8,6,24.8,0.81,6.92,206,"M",0
"18250","NLA12_IN-134-2012-1","NLA12_IN-134",1,4,2012,8,6,16.8,0.47,6.84,221,"M",0
"18251","NLA12_IN-134-2012-1","NLA12_IN-134",1,5,2012,8,6,11.18,0.36,6.78,239,"M",0
"18252","NLA12_IN-134-2012-1","NLA12_IN-134",1,6,2012,8,6,8.5,0.4,6.8,265,"M",0
"18253","NLA12_IN-134-2012-1","NLA12_IN-134",1,7,2012,8,6,7.72,0.34,6.82,286,"H",0
"18254","NLA12_IN-134-2012-1","NLA12_IN-134",1,8,2012,8,6,7.27,0.35,6.89,291,"H",0
"18255","NLA12_IN-134-2012-1","NLA12_IN-134",1,9,2012,8,6,7.09,0.33,6.92,304,"H",0
"18256","NLA12_IN-134-2012-1","NLA12_IN-134",1,9.9,2012,8,6,6.99,0.31,6.94,307,"H",0
