"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"18513","NLA12_KS-122-2012-1","NLA12_KS-122",1,0,2012,7,2,26.9,8.565,8.45,897,"E",0
"18514","NLA12_KS-122-2012-1","NLA12_KS-122",1,1,2012,7,2,26.8,8.52,8.38,970,"E",0
"18515","NLA12_KS-122-2012-1","NLA12_KS-122",1,2,2012,7,2,26.7,8.4,8.33,980,"E",0
"18516","NLA12_KS-122-2012-1","NLA12_KS-122",1,3,2012,7,2,26.5,8.04,8.32,980,"E",0
"18517","NLA12_KS-122-2012-1","NLA12_KS-122",1,4,2012,7,2,26.4,7.82,8.37,980,"E",0
"18518","NLA12_KS-122-2012-1","NLA12_KS-122",1,5,2012,7,2,26.4,7.35,8.28,980,"E",0
"18519","NLA12_KS-122-2012-1","NLA12_KS-122",1,6,2012,7,2,26.4,7.09,8.27,980,"E",0
"18520","NLA12_KS-122-2012-1","NLA12_KS-122",1,7,2012,7,2,25.8,4.9,7.9,930,"E",0
"18521","NLA12_KS-122-2012-1","NLA12_KS-122",1,8,2012,7,2,25.3,3.5,7.8,818,"E",0
"18522","NLA12_KS-122-2012-1","NLA12_KS-122",1,9,2012,7,2,25.3,3.3,7.8,876,"E",0
"18523","NLA12_KS-122-2012-1","NLA12_KS-122",1,10,2012,7,2,25.2,2.8,7.8,825,"E",0
"18524","NLA12_KS-122-2012-1","NLA12_KS-122",1,11,2012,7,2,25,1.9,7.7,891,"E",0
"18525","NLA12_KS-122-2012-1","NLA12_KS-122",1,12,2012,7,2,25,1.6,7.7,893,"E",0
"18526","NLA12_KS-122-2012-1","NLA12_KS-122",1,12.5,2012,7,2,24.9,0.02,7.6,864,"E",0
