"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"18561","NLA12_KY-107-2012-1","NLA12_KY-107",1,0,2012,5,23,24.4,9.3,9.15,223.5,"E",0
"18562","NLA12_KY-107-2012-1","NLA12_KY-107",1,1,2012,5,23,24,10.8,9.1,224,"E",0
"18563","NLA12_KY-107-2012-1","NLA12_KY-107",1,2,2012,5,23,22.4,11.6,8.9,233,"M",0
"18564","NLA12_KY-107-2012-1","NLA12_KY-107",1,3,2012,5,23,19.8,8,8.1,253,"M",0
"18565","NLA12_KY-107-2012-1","NLA12_KY-107",1,4,2012,5,23,17,3.9,7.8,253,"M",0
"18566","NLA12_KY-107-2012-1","NLA12_KY-107",1,5,2012,5,23,15.5,2.1,7.6,256,"M",0
"18567","NLA12_KY-107-2012-1","NLA12_KY-107",1,6,2012,5,23,14,1.2,7.5,279,"M",0
"18568","NLA12_KY-107-2012-1","NLA12_KY-107",1,7,2012,5,23,13.1,0.8,7.4,298,"H",0
"18569","NLA12_KY-107-2012-1","NLA12_KY-107",1,8,2012,5,23,12.4,0.6,7.4,311,"H",0
"18570","NLA12_KY-107-2012-1","NLA12_KY-107",1,8.2,2012,5,23,12.1,0.5,7.4,318,"H",0
