"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"18674","NLA12_MA-109-2012-1","NLA12_MA-109",1,0,2012,9,14,24.2,7.45,6.55,NA,"E",0
"18675","NLA12_MA-109-2012-1","NLA12_MA-109",1,1,2012,9,14,23.9,7.5,6.5,NA,"E",0
"18676","NLA12_MA-109-2012-1","NLA12_MA-109",1,2,2012,9,14,23.7,7.6,6.5,NA,"E",0
"18677","NLA12_MA-109-2012-1","NLA12_MA-109",1,3,2012,9,14,23.6,7.6,6.3,NA,"E",0
"18678","NLA12_MA-109-2012-1","NLA12_MA-109",1,4,2012,9,14,23.5,7.6,6.3,NA,"E",0
"18679","NLA12_MA-109-2012-1","NLA12_MA-109",1,5,2012,9,14,23.5,7.5,6.3,NA,"E",0
"18680","NLA12_MA-109-2012-1","NLA12_MA-109",1,6,2012,9,14,23.4,7.4,6.2,NA,"M",0
"18681","NLA12_MA-109-2012-1","NLA12_MA-109",1,7,2012,9,14,21.9,7.6,6,NA,"M",0
"18682","NLA12_MA-109-2012-1","NLA12_MA-109",1,8,2012,9,14,16.2,4.9,5.5,NA,"M",0
"18683","NLA12_MA-109-2012-1","NLA12_MA-109",1,9,2012,9,14,14,1.4,5.4,NA,"M",0
"18684","NLA12_MA-109-2012-1","NLA12_MA-109",1,9.9,2012,9,14,12.4,0.9,5.4,NA,"M",0
