"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"18757","NLA12_ME-118-2012-1","NLA12_ME-118",1,0,2012,8,15,26,7.7,6.9,39,"E",0
"18758","NLA12_ME-118-2012-1","NLA12_ME-118",1,1,2012,8,15,26,7.7,6.9,39,"E",0
"18759","NLA12_ME-118-2012-1","NLA12_ME-118",1,2,2012,8,15,25.8,7.6,6.9,39,"E",0
"18760","NLA12_ME-118-2012-1","NLA12_ME-118",1,3,2012,8,15,25.4,7.7,6.9,39,"E",0
"18761","NLA12_ME-118-2012-1","NLA12_ME-118",1,4,2012,8,15,23,7.8,6.6,38,"M",0
"18762","NLA12_ME-118-2012-1","NLA12_ME-118",1,5,2012,8,15,16.1,3.5,6,39,"M",0
"18763","NLA12_ME-118-2012-1","NLA12_ME-118",1,6,2012,8,15,12.4,0.2,5.8,41,"M",0
"18764","NLA12_ME-118-2012-1","NLA12_ME-118",1,7,2012,8,15,10.9,0.1,5.8,43,"M",0
"18765","NLA12_ME-118-2012-1","NLA12_ME-118",1,8,2012,8,15,9.8,0.1,6,51,"H",0
"18766","NLA12_ME-118-2012-1","NLA12_ME-118",1,8.2,2012,8,15,9.7,0.1,6.1,54,"H",0
