"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"19152","NLA12_MI-172-2012-1","NLA12_MI-172",1,0.1,2012,8,23,23.95,8.9,8.3,210.5,"E",0
"19153","NLA12_MI-172-2012-1","NLA12_MI-172",1,1,2012,8,23,23.8,8.9,8.3,210,"E",0
"19154","NLA12_MI-172-2012-1","NLA12_MI-172",1,2,2012,8,23,23.6,9.2,8.4,209,"E",0
"19155","NLA12_MI-172-2012-1","NLA12_MI-172",1,3,2012,8,23,23.4,8.6,8.3,209,"E",0
"19156","NLA12_MI-172-2012-1","NLA12_MI-172",1,4,2012,8,23,23.1,7.6,8.1,210,"E",0
"19157","NLA12_MI-172-2012-1","NLA12_MI-172",1,5,2012,8,23,22.6,5.3,7.8,214,"E",0
"19158","NLA12_MI-172-2012-1","NLA12_MI-172",1,6,2012,8,23,20,1.2,7.4,232,"M",0
"19159","NLA12_MI-172-2012-1","NLA12_MI-172",1,7,2012,8,23,15.4,1.1,7.4,215,"M",0
"19160","NLA12_MI-172-2012-1","NLA12_MI-172",1,8,2012,8,23,12.1,1,7.3,196,"M",0
"19161","NLA12_MI-172-2012-1","NLA12_MI-172",1,9,2012,8,23,10.2,0.7,7.2,188,"M",0
"19162","NLA12_MI-172-2012-1","NLA12_MI-172",1,10,2012,8,23,9.2,0.9,7.3,228,"H",0
"19163","NLA12_MI-172-2012-1","NLA12_MI-172",1,11,2012,8,23,8.8,0.7,7.3,253,"H",0
"19164","NLA12_MI-172-2012-1","NLA12_MI-172",1,11.1,2012,8,23,8.8,0.5,7.4,254,"H",0
