"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"19201","NLA12_MN-132-2012-1","NLA12_MN-132",1,0,2012,6,11,22.395,8.415,8.24,409.75,"E",0
"19202","NLA12_MN-132-2012-1","NLA12_MN-132",1,1,2012,6,11,22.43,8.34,8.41,409.5,"E",0
"19203","NLA12_MN-132-2012-1","NLA12_MN-132",1,2,2012,6,11,22.44,8.39,8.43,409.8,"E",0
"19204","NLA12_MN-132-2012-1","NLA12_MN-132",1,3,2012,6,11,22.43,8.37,8.43,409.4,"E",0
"19205","NLA12_MN-132-2012-1","NLA12_MN-132",1,4,2012,6,11,22.42,8.35,8.43,407.3,"M",0
"19206","NLA12_MN-132-2012-1","NLA12_MN-132",1,5,2012,6,11,18.07,7.09,8.06,424.5,"M",0
"19207","NLA12_MN-132-2012-1","NLA12_MN-132",1,6,2012,6,11,16.82,5.32,7.86,427.1,"M",0
"19208","NLA12_MN-132-2012-1","NLA12_MN-132",1,7,2012,6,11,13.72,0.47,7.42,437.4,"M",0
"19209","NLA12_MN-132-2012-1","NLA12_MN-132",1,8,2012,6,11,11.35,0.04,7.33,446.9,"M",0
"19210","NLA12_MN-132-2012-1","NLA12_MN-132",1,9,2012,6,11,10.68,0,7.31,452.7,"H",0
"19211","NLA12_MN-132-2012-1","NLA12_MN-132",1,10,2012,6,11,9.97,0,7.31,457.8,"H",0
"19212","NLA12_MN-132-2012-1","NLA12_MN-132",1,11,2012,6,11,10.18,0,7.29,465.9,"H",0
"19213","NLA12_MN-132-2012-1","NLA12_MN-132",1,11.7,2012,6,11,10.11,0,7.28,468.6,"H",0
