"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"19334","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,0,2012,7,27,25.1,15.95,8.2,197,"E",0
"19335","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,0.5,2012,7,27,25.1,16,8.2,196,"E",0
"19336","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,1,2012,7,27,24.9,15.8,8.4,196,"E",0
"19337","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,2,2012,7,27,24.6,15.4,8.2,196,"E",0
"19338","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,3,2012,7,27,20.6,9.8,7.5,164,"M",0
"19339","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,4,2012,7,27,16.1,4.4,7.4,217,"M",0
"19340","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,5,2012,7,27,11.9,0,7.5,267,"M",0
"19341","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,6,2012,7,27,10,0,7.6,275,"M",0
"19342","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,7,2012,7,27,9.1,0,7.5,277,"M",0
"19343","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,8,2012,7,27,7.3,0,7.5,277,"M",0
"19344","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,9,2012,7,27,6.8,0,7.5,280,"H",0
"19345","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,10,2012,7,27,6.6,0,7.5,280,"H",0
"19346","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,11,2012,7,27,6.5,0,7.4,281,"H",0
"19347","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,12,2012,7,27,6.4,0,7.3,281,"H",0
"19348","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,13,2012,7,27,6.3,0,7.3,282,"H",0
"19349","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,14,2012,7,27,6.3,0,7.3,283,"H",0
"19350","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,15,2012,7,27,6.2,0,7.3,286,"H",0
"19351","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,16,2012,7,27,6,0,7.3,289,"H",0
"19352","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,17,2012,7,27,5.9,0,7.3,289,"H",0
"19353","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,18,2012,7,27,5.9,0,7.3,289,"H",0
"19354","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,19,2012,7,27,5.9,0,7.3,289,"H",0
"19355","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,20,2012,7,27,5.9,0,7.3,291,"H",0
"19356","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,21,2012,7,27,5.8,0,7.3,298,"H",0
"19357","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,22,2012,7,27,5.8,0,7.1,321,"H",0
"19358","NLA12_MN-R14-2012-1","NLA12_MN-R14",1,22.1,2012,7,27,5.8,0,6.8,507,"H",0
