"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"19540","NLA12_MT-140-2012-1","NLA12_MT-140",1,0,2012,8,14,15.95,8.4,6.55,9,"E",0
"19541","NLA12_MT-140-2012-1","NLA12_MT-140",1,0.5,2012,8,14,15.9,8.4,6.5,9,"E",0
"19542","NLA12_MT-140-2012-1","NLA12_MT-140",1,1,2012,8,14,15.9,8.3,6.6,9,"E",0
"19543","NLA12_MT-140-2012-1","NLA12_MT-140",1,1.5,2012,8,14,15.9,8.3,6.6,9,"E",0
"19544","NLA12_MT-140-2012-1","NLA12_MT-140",1,2,2012,8,14,15.9,8.3,6.6,9,"E",0
"19545","NLA12_MT-140-2012-1","NLA12_MT-140",1,2.5,2012,8,14,15.9,8.3,6.6,9,"E",0
"19546","NLA12_MT-140-2012-1","NLA12_MT-140",1,3,2012,8,14,15.8,8.3,6.6,9,"E",0
"19547","NLA12_MT-140-2012-1","NLA12_MT-140",1,3.5,2012,8,14,15.8,8.3,6.6,9,"E",0
"19548","NLA12_MT-140-2012-1","NLA12_MT-140",1,4,2012,8,14,15.2,9.1,6.5,9,"M",0
"19549","NLA12_MT-140-2012-1","NLA12_MT-140",1,4.5,2012,8,14,10.4,10.7,6.1,9,"M",0
"19550","NLA12_MT-140-2012-1","NLA12_MT-140",1,5,2012,8,14,10.1,10.8,5.9,9,"H",0
"19551","NLA12_MT-140-2012-1","NLA12_MT-140",1,5.5,2012,8,14,9.8,10.7,5.9,9,"H",0
"19552","NLA12_MT-140-2012-1","NLA12_MT-140",1,6,2012,8,14,9.7,10.7,5.8,9,"H",0
"19553","NLA12_MT-140-2012-1","NLA12_MT-140",1,6.5,2012,8,14,9.2,10.8,5.8,9,"H",0
"19554","NLA12_MT-140-2012-1","NLA12_MT-140",1,7,2012,8,14,8.9,10.7,5.8,9,"H",0
"19555","NLA12_MT-140-2012-1","NLA12_MT-140",1,7.5,2012,8,14,8.6,10.8,5.8,9,"H",0
"19556","NLA12_MT-140-2012-1","NLA12_MT-140",1,8,2012,8,14,8.4,10.8,5.8,9,"H",0
"19557","NLA12_MT-140-2012-1","NLA12_MT-140",1,8.5,2012,8,14,8.2,10.8,5.8,9,"H",0
"19558","NLA12_MT-140-2012-1","NLA12_MT-140",1,9,2012,8,14,7.9,10.8,5.8,9,"H",0
"19559","NLA12_MT-140-2012-1","NLA12_MT-140",1,9.5,2012,8,14,7.7,10.8,5.8,9,"H",0
"19560","NLA12_MT-140-2012-1","NLA12_MT-140",1,10,2012,8,14,7.6,10.8,5.8,9,"H",0
"19561","NLA12_MT-140-2012-1","NLA12_MT-140",1,10.5,2012,8,14,7.5,10.7,5.8,9,"H",0
"19562","NLA12_MT-140-2012-1","NLA12_MT-140",1,11,2012,8,14,7.4,10.8,5.8,9,"H",0
"19563","NLA12_MT-140-2012-1","NLA12_MT-140",1,11.5,2012,8,14,6.6,10.9,5.8,9,"H",0
"19564","NLA12_MT-140-2012-1","NLA12_MT-140",1,12,2012,8,14,6.6,10.8,5.8,9,"H",0
"19565","NLA12_MT-140-2012-1","NLA12_MT-140",1,12.5,2012,8,14,6.3,10.8,5.7,9,"H",0
"19566","NLA12_MT-140-2012-1","NLA12_MT-140",1,13,2012,8,14,6.3,10.8,5.7,9,"H",0
"19567","NLA12_MT-140-2012-1","NLA12_MT-140",1,13.5,2012,8,14,6.2,10.9,5.7,9,"H",0
"19568","NLA12_MT-140-2012-1","NLA12_MT-140",1,14,2012,8,14,6.1,10.8,5.7,9,"H",0
"19569","NLA12_MT-140-2012-1","NLA12_MT-140",1,14.5,2012,8,14,6.2,10.8,5.8,9,"H",0
"19570","NLA12_MT-140-2012-1","NLA12_MT-140",1,15,2012,8,14,6.1,10.8,5.8,9,"H",0
"19571","NLA12_MT-140-2012-1","NLA12_MT-140",1,15.5,2012,8,14,5.9,10.8,5.8,9,"H",0
"19572","NLA12_MT-140-2012-1","NLA12_MT-140",1,16,2012,8,14,5.7,10.8,5.8,9,"H",0
"19573","NLA12_MT-140-2012-1","NLA12_MT-140",1,16.5,2012,8,14,5.6,10.8,5.8,9,"H",0
"19574","NLA12_MT-140-2012-1","NLA12_MT-140",1,17,2012,8,14,5.7,10.8,5.8,9,"H",0
"19575","NLA12_MT-140-2012-1","NLA12_MT-140",1,17.5,2012,8,14,5.7,10.7,5.8,9,"H",0
