"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"19741","NLA12_NC-108-2012-1","NLA12_NC-108",1,0,2012,6,2,20.8,9.2,6.57,26,"E",0
"19742","NLA12_NC-108-2012-1","NLA12_NC-108",1,1,2012,6,2,20.8,9.3,6.6,26,"E",0
"19743","NLA12_NC-108-2012-1","NLA12_NC-108",1,2,2012,6,2,20.5,9.5,6.7,26,"M",0
"19744","NLA12_NC-108-2012-1","NLA12_NC-108",1,3,2012,6,2,18.2,9.9,6.8,27,"M",0
"19745","NLA12_NC-108-2012-1","NLA12_NC-108",1,4,2012,6,2,17.5,10.7,6.9,26,"M",0
"19746","NLA12_NC-108-2012-1","NLA12_NC-108",1,5,2012,6,2,15.5,10.1,6.8,26,"M",0
"19747","NLA12_NC-108-2012-1","NLA12_NC-108",1,6,2012,6,2,13.4,8.9,6.5,27,"M",0
"19748","NLA12_NC-108-2012-1","NLA12_NC-108",1,7,2012,6,2,11.6,5.2,6.2,28,"M",0
"19749","NLA12_NC-108-2012-1","NLA12_NC-108",1,8,2012,6,2,10.3,3.6,6.1,29,"M",0
"19750","NLA12_NC-108-2012-1","NLA12_NC-108",1,9,2012,6,2,9.6,2.7,5.8,28,"M",0
"19751","NLA12_NC-108-2012-1","NLA12_NC-108",1,10,2012,6,2,9.1,0.5,5.7,27,"H",0
"19752","NLA12_NC-108-2012-1","NLA12_NC-108",1,11,2012,6,2,8.9,0.3,5.8,44,"H",0
"19753","NLA12_NC-108-2012-1","NLA12_NC-108",1,11.2,2012,6,2,8.8,0.2,5.9,47,"H",0
