"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"19839","NLA12_ND-131-2012-1","NLA12_ND-131",1,0,2012,8,6,22.945,7.07,8.26,1817,"E",0
"19840","NLA12_ND-131-2012-1","NLA12_ND-131",1,1,2012,8,6,22.94,7.07,8.25,1817,"E",0
"19841","NLA12_ND-131-2012-1","NLA12_ND-131",1,2,2012,8,6,22.94,7.01,8.25,1815,"E",0
"19842","NLA12_ND-131-2012-1","NLA12_ND-131",1,3,2012,8,6,22.67,6.79,8.25,1814,"E",0
"19843","NLA12_ND-131-2012-1","NLA12_ND-131",1,4,2012,8,6,22.55,6.7,8.25,1813,"E",0
"19844","NLA12_ND-131-2012-1","NLA12_ND-131",1,5,2012,8,6,22.44,6.64,8.25,1813,"E",0
"19845","NLA12_ND-131-2012-1","NLA12_ND-131",1,6,2012,8,6,22.39,6.55,8.25,1812,"E",0
"19846","NLA12_ND-131-2012-1","NLA12_ND-131",1,7,2012,8,6,22.29,6.25,8.23,1813,"E",0
"19847","NLA12_ND-131-2012-1","NLA12_ND-131",1,8,2012,8,6,22.26,6.05,8.22,1813,"E",0
"19848","NLA12_ND-131-2012-1","NLA12_ND-131",1,9,2012,8,6,22.16,5.98,8.22,1816,"E",0
"19849","NLA12_ND-131-2012-1","NLA12_ND-131",1,10,2012,8,6,22.13,5.91,8.22,1818,"E",0
"19850","NLA12_ND-131-2012-1","NLA12_ND-131",1,11,2012,8,6,22.07,5.68,8.21,1811,"E",0
"19851","NLA12_ND-131-2012-1","NLA12_ND-131",1,12,2012,8,6,21.81,5.15,8.18,1808,"E",0
"19852","NLA12_ND-131-2012-1","NLA12_ND-131",1,13,2012,8,6,21.71,4.89,8.17,1805,"E",0
"19853","NLA12_ND-131-2012-1","NLA12_ND-131",1,14,2012,8,6,20.7,2.59,7.98,1790,"E",0
"19854","NLA12_ND-131-2012-1","NLA12_ND-131",1,14.2,2012,8,6,20.63,1.17,7.99,1789,"E",0
