"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"20059","NLA12_NE-157-2012-1","NLA12_NE-157",1,0,2012,8,29,24.2,8.9,8.6,NA,"E",0
"20060","NLA12_NE-157-2012-1","NLA12_NE-157",1,1,2012,8,29,24.2,8.6,8.9,NA,"E",0
"20061","NLA12_NE-157-2012-1","NLA12_NE-157",1,2,2012,8,29,24.2,8.6,8.8,NA,"E",0
"20062","NLA12_NE-157-2012-1","NLA12_NE-157",1,3,2012,8,29,24.1,8.6,8.8,NA,"E",0
"20063","NLA12_NE-157-2012-1","NLA12_NE-157",1,4,2012,8,29,23.4,7.5,8.7,NA,"E",0
"20064","NLA12_NE-157-2012-1","NLA12_NE-157",1,5,2012,8,29,23.1,6.2,8.6,NA,"E",0
"20065","NLA12_NE-157-2012-1","NLA12_NE-157",1,6,2012,8,29,22.8,5,8.4,NA,"E",0
"20066","NLA12_NE-157-2012-1","NLA12_NE-157",1,7,2012,8,29,21.2,0.7,8.2,NA,"M",0
"20067","NLA12_NE-157-2012-1","NLA12_NE-157",1,8,2012,8,29,15.9,0.5,8.9,NA,"M",0
"20068","NLA12_NE-157-2012-1","NLA12_NE-157",1,9,2012,8,29,12.9,0.5,9.6,NA,"M",0
"20069","NLA12_NE-157-2012-1","NLA12_NE-157",1,10,2012,8,29,11.2,0.4,10,NA,"M",0
"20070","NLA12_NE-157-2012-1","NLA12_NE-157",1,11,2012,8,29,9.8,0.4,10.2,NA,"M",0
"20071","NLA12_NE-157-2012-1","NLA12_NE-157",1,12,2012,8,29,9.1,0.3,10.3,NA,"M",0
"20072","NLA12_NE-157-2012-1","NLA12_NE-157",1,13,2012,8,29,8.8,0.3,10.3,NA,"H",0
"20073","NLA12_NE-157-2012-1","NLA12_NE-157",1,14,2012,8,29,8.5,0.2,10.3,NA,"H",0
"20074","NLA12_NE-157-2012-1","NLA12_NE-157",1,15,2012,8,29,8.2,0.3,10.3,NA,"H",0
"20075","NLA12_NE-157-2012-1","NLA12_NE-157",1,16,2012,8,29,7.7,0.2,10.3,NA,"H",0
"20076","NLA12_NE-157-2012-1","NLA12_NE-157",1,17,2012,8,29,7.5,0.2,10.2,NA,"H",0
"20077","NLA12_NE-157-2012-1","NLA12_NE-157",1,18,2012,8,29,7.4,0.2,10.1,NA,"H",0
"20078","NLA12_NE-157-2012-1","NLA12_NE-157",1,19,2012,8,29,7.3,0.2,10,NA,"H",0
"20079","NLA12_NE-157-2012-1","NLA12_NE-157",1,20,2012,8,29,7.3,0.2,9.9,NA,"H",0
"20080","NLA12_NE-157-2012-1","NLA12_NE-157",1,21,2012,8,29,7.2,0.2,9.8,NA,"H",0
