"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"20206","NLA12_NM-129-2012-1","NLA12_NM-129",1,0,2012,6,10,21.9,8.75,8.6,1597,"E",0
"20207","NLA12_NM-129-2012-1","NLA12_NM-129",1,1,2012,6,10,21.8,8.8,8.5,1621,"E",0
"20208","NLA12_NM-129-2012-1","NLA12_NM-129",1,2,2012,6,10,21.8,8.8,8.6,1626,"E",0
"20209","NLA12_NM-129-2012-1","NLA12_NM-129",1,3,2012,6,10,21.8,8.8,8.6,1626,"E",0
"20210","NLA12_NM-129-2012-1","NLA12_NM-129",1,4,2012,6,10,21.8,8.8,8.6,1627,"E",0
"20211","NLA12_NM-129-2012-1","NLA12_NM-129",1,5,2012,6,10,21.7,8.7,8.6,1627,"E",0
"20212","NLA12_NM-129-2012-1","NLA12_NM-129",1,6,2012,6,10,21.6,8.6,8.6,1628,"E",0
"20213","NLA12_NM-129-2012-1","NLA12_NM-129",1,7,2012,6,10,21.6,8.6,8.6,1628,"E",0
"20214","NLA12_NM-129-2012-1","NLA12_NM-129",1,8,2012,6,10,21.6,8.5,8.6,1629,"E",0
"20215","NLA12_NM-129-2012-1","NLA12_NM-129",1,9,2012,6,10,21.1,8,8.5,1628,"E",0
"20216","NLA12_NM-129-2012-1","NLA12_NM-129",1,10,2012,6,10,20.3,7.5,8.5,1622,"E",0
"20217","NLA12_NM-129-2012-1","NLA12_NM-129",1,11,2012,6,10,20,7,8.5,1621,"E",0
"20218","NLA12_NM-129-2012-1","NLA12_NM-129",1,12,2012,6,10,19.4,6.4,8.4,1618,"E",0
"20219","NLA12_NM-129-2012-1","NLA12_NM-129",1,13,2012,6,10,19.2,6.3,8.4,1617,"E",0
"20220","NLA12_NM-129-2012-1","NLA12_NM-129",1,13.5,2012,6,10,19.2,6.2,8.4,1617,"E",0
