"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"20418","NLA12_NY-R11-2012-1","NLA12_NY-R11",1,0,2012,7,19,25.6,7.55,7.1,27.5,"E",0
"20419","NLA12_NY-R11-2012-1","NLA12_NY-R11",1,1,2012,7,19,26.5,7.8,7,27,"E",0
"20420","NLA12_NY-R11-2012-1","NLA12_NY-R11",1,2,2012,7,19,26.6,7.8,6.9,27,"E",0
"20421","NLA12_NY-R11-2012-1","NLA12_NY-R11",1,3,2012,7,19,26,7.7,7,27,"E",0
"20422","NLA12_NY-R11-2012-1","NLA12_NY-R11",1,4,2012,7,19,26.6,7.7,7.1,27,"E",0
"20423","NLA12_NY-R11-2012-1","NLA12_NY-R11",1,5,2012,7,19,26.1,7.8,7.1,27,"M",0
"20424","NLA12_NY-R11-2012-1","NLA12_NY-R11",1,6,2012,7,19,22,8.7,7.2,26,"M",0
"20425","NLA12_NY-R11-2012-1","NLA12_NY-R11",1,7,2012,7,19,17.7,9.7,7.4,27,"M",0
"20426","NLA12_NY-R11-2012-1","NLA12_NY-R11",1,8,2012,7,19,13.8,10.9,7.6,29,"M",0
"20427","NLA12_NY-R11-2012-1","NLA12_NY-R11",1,8.9,2012,7,19,11.5,11.4,7.4,51,"M",0
