"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"20471","NLA12_OH-127-2012-1","NLA12_OH-127",1,0.1,2012,7,19,29.1,7.85,7.9,98,"E",0
"20472","NLA12_OH-127-2012-1","NLA12_OH-127",1,1,2012,7,19,28.7,8.1,8,97,"E",0
"20473","NLA12_OH-127-2012-1","NLA12_OH-127",1,2,2012,7,19,28.6,8,8,97,"E",0
"20474","NLA12_OH-127-2012-1","NLA12_OH-127",1,3,2012,7,19,27.8,8.1,7.9,97,"E",0
"20475","NLA12_OH-127-2012-1","NLA12_OH-127",1,4,2012,7,19,23.5,9.1,7.8,96,"M",0
"20476","NLA12_OH-127-2012-1","NLA12_OH-127",1,5,2012,7,19,18.2,8.6,7.6,96,"M",0
"20477","NLA12_OH-127-2012-1","NLA12_OH-127",1,6,2012,7,19,13.3,6.1,7.5,101,"M",0
"20478","NLA12_OH-127-2012-1","NLA12_OH-127",1,7,2012,7,19,10.4,3.6,7.3,105,"M",0
"20479","NLA12_OH-127-2012-1","NLA12_OH-127",1,8,2012,7,19,9,2.7,7.3,107,"M",0
"20480","NLA12_OH-127-2012-1","NLA12_OH-127",1,9,2012,7,19,8.3,2.5,7.2,108,"H",0
"20481","NLA12_OH-127-2012-1","NLA12_OH-127",1,10,2012,7,19,7.6,2.3,7.2,111,"H",0
"20482","NLA12_OH-127-2012-1","NLA12_OH-127",1,11,2012,7,19,7.4,1.9,7.1,116,"H",0
"20483","NLA12_OH-127-2012-1","NLA12_OH-127",1,11.5,2012,7,19,7.3,1.8,7.1,118,"H",0
