"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"20760","NLA12_OR-169-2012-1","NLA12_OR-169",1,0.5,2012,7,11,23.2,8.7,7.35,37,"E",0
"20761","NLA12_OR-169-2012-1","NLA12_OR-169",1,1,2012,7,11,23.2,8.7,7.3,37,"E",0
"20762","NLA12_OR-169-2012-1","NLA12_OR-169",1,2,2012,7,11,22.8,8.7,7.4,37,"E",0
"20763","NLA12_OR-169-2012-1","NLA12_OR-169",1,3,2012,7,11,22.4,8.7,7.4,37,"E",0
"20764","NLA12_OR-169-2012-1","NLA12_OR-169",1,4,2012,7,11,22,8.7,7.4,37,"E",0
"20765","NLA12_OR-169-2012-1","NLA12_OR-169",1,5,2012,7,11,21.4,8.8,7.4,37,"E",0
"20766","NLA12_OR-169-2012-1","NLA12_OR-169",1,6,2012,7,11,17.8,9.2,7.3,37,"M",0
"20767","NLA12_OR-169-2012-1","NLA12_OR-169",1,7,2012,7,11,16,9.2,7.2,38,"M",0
"20768","NLA12_OR-169-2012-1","NLA12_OR-169",1,8,2012,7,11,14.9,9.2,7.2,39,"M",0
"20769","NLA12_OR-169-2012-1","NLA12_OR-169",1,9,2012,7,11,14.3,9.3,7.1,40,"M",0
"20770","NLA12_OR-169-2012-1","NLA12_OR-169",1,10,2012,7,11,13.7,9.2,7.1,38,"H",0
"20771","NLA12_OR-169-2012-1","NLA12_OR-169",1,11,2012,7,11,13,9.2,7.1,38,"H",0
"20772","NLA12_OR-169-2012-1","NLA12_OR-169",1,12,2012,7,11,12.6,9.2,7.1,38,"H",0
"20773","NLA12_OR-169-2012-1","NLA12_OR-169",1,13,2012,7,11,12.2,9.3,7,37,"H",0
"20774","NLA12_OR-169-2012-1","NLA12_OR-169",1,14,2012,7,11,11.9,9.3,7,37,"H",0
"20775","NLA12_OR-169-2012-1","NLA12_OR-169",1,15,2012,7,11,11.6,9.4,7,37,"H",0
"20776","NLA12_OR-169-2012-1","NLA12_OR-169",1,16,2012,7,11,11.4,9.5,7,37,"H",0
"20777","NLA12_OR-169-2012-1","NLA12_OR-169",1,17,2012,7,11,11.3,9.5,7,37,"H",0
"20778","NLA12_OR-169-2012-1","NLA12_OR-169",1,18,2012,7,11,11.1,9.6,7,37,"H",0
"20779","NLA12_OR-169-2012-1","NLA12_OR-169",1,19,2012,7,11,10.9,9.6,7,37,"H",0
"20780","NLA12_OR-169-2012-1","NLA12_OR-169",1,20,2012,7,11,10.8,9.7,7,37,"H",0
"20781","NLA12_OR-169-2012-1","NLA12_OR-169",1,22,2012,7,11,10.6,9.7,7,37,"H",0
"20782","NLA12_OR-169-2012-1","NLA12_OR-169",1,24,2012,7,11,10.3,9.7,7,36,"H",0
"20783","NLA12_OR-169-2012-1","NLA12_OR-169",1,26,2012,7,11,10,9.7,7,36,"H",0
"20784","NLA12_OR-169-2012-1","NLA12_OR-169",1,28,2012,7,11,9.8,9.7,7,36,"H",0
"20785","NLA12_OR-169-2012-1","NLA12_OR-169",1,30,2012,7,11,9.6,9.7,7,36,"H",0
