"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"20821","NLA12_PA-113-2012-1","NLA12_PA-113",1,0,2012,8,15,20.1,7.79,8.12,NA,"E",0
"20822","NLA12_PA-113-2012-1","NLA12_PA-113",1,1,2012,8,15,23.8,6.82,8.06,239,"E",0
"20823","NLA12_PA-113-2012-1","NLA12_PA-113",1,2,2012,8,15,23.8,6.91,8.03,236,"E",0
"20824","NLA12_PA-113-2012-1","NLA12_PA-113",1,3,2012,8,15,23.7,6.9,8.06,239,"E",0
"20825","NLA12_PA-113-2012-1","NLA12_PA-113",1,4,2012,8,15,23.7,6.78,8.07,240,"E",0
"20826","NLA12_PA-113-2012-1","NLA12_PA-113",1,5,2012,8,15,23.7,6.84,8.06,240,"E",0
"20827","NLA12_PA-113-2012-1","NLA12_PA-113",1,6,2012,8,15,23.6,6.49,8.04,240,"E",0
"20828","NLA12_PA-113-2012-1","NLA12_PA-113",1,7,2012,8,15,20.8,3.14,7.91,239,"M",0
"20829","NLA12_PA-113-2012-1","NLA12_PA-113",1,8,2012,8,15,16.1,0.38,7.81,236,"M",0
"20830","NLA12_PA-113-2012-1","NLA12_PA-113",1,9,2012,8,15,12.9,0.34,7.56,240,"M",0
"20831","NLA12_PA-113-2012-1","NLA12_PA-113",1,10,2012,8,15,11.9,0.32,7.46,246,"H",0
"20832","NLA12_PA-113-2012-1","NLA12_PA-113",1,11,2012,8,15,11.6,0.33,7.36,245,"H",0
"20833","NLA12_PA-113-2012-1","NLA12_PA-113",1,12,2012,8,15,11.3,0.31,7.34,250,"H",0
"20834","NLA12_PA-113-2012-1","NLA12_PA-113",1,12.5,2012,8,15,11.2,0.32,7.25,248,"H",0
