"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"20875","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,0,2012,7,23,24.85,5.4,6.4,42,"E",0
"20876","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,1,2012,7,23,24.8,5.7,6.4,41,"E",0
"20877","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,2,2012,7,23,24.4,5.7,6.4,41,"E",0
"20878","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,3,2012,7,23,23.9,5.6,6.5,42,"E",0
"20879","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,4,2012,7,23,22.7,5.9,6.6,43,"M",0
"20880","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,5,2012,7,23,20.8,6.3,6.7,40,"M",0
"20881","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,6,2012,7,23,20.8,6.3,6.7,40,"M",0
"20882","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,7,2012,7,23,18.8,6.9,6.7,39,"H",0
"20883","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,8,2012,7,23,16.6,7.5,6.7,39,"H",0
"20884","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,9,2012,7,23,15.8,7.6,6.7,39,"H",0
"20885","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,11,2012,7,23,10.8,7.7,6.5,41,"H",0
"20886","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,13,2012,7,23,8.5,6,6.1,41,"H",0
"20887","NLA12_PA-R10-2012-1","NLA12_PA-R10",1,14.9,2012,7,23,7.4,4.3,5.9,44,"H",0
