"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"21149","NLA12_TX-124-2012-1","NLA12_TX-124",1,0,2012,7,13,29.5,7.1,8.5,1309.5,"E",0
"21150","NLA12_TX-124-2012-1","NLA12_TX-124",1,1,2012,7,13,28.9,7.4,8.5,1308,"E",0
"21151","NLA12_TX-124-2012-1","NLA12_TX-124",1,2,2012,7,13,28.6,7.4,8.5,1307,"E",0
"21152","NLA12_TX-124-2012-1","NLA12_TX-124",1,3,2012,7,13,28.4,6.5,8.4,1306,"E",0
"21153","NLA12_TX-124-2012-1","NLA12_TX-124",1,4,2012,7,13,28.4,6.4,8.4,1306,"E",0
"21154","NLA12_TX-124-2012-1","NLA12_TX-124",1,5,2012,7,13,28.4,6.1,8.4,1307,"E",0
"21155","NLA12_TX-124-2012-1","NLA12_TX-124",1,6,2012,7,13,28.3,5.8,8.3,1307,"E",0
"21156","NLA12_TX-124-2012-1","NLA12_TX-124",1,7,2012,7,13,27.9,4.4,8.2,1308,"E",0
"21157","NLA12_TX-124-2012-1","NLA12_TX-124",1,8,2012,7,13,27.6,1,7.6,1309,"E",0
"21158","NLA12_TX-124-2012-1","NLA12_TX-124",1,9,2012,7,13,27.4,0.4,7.5,1309,"E",0
"21159","NLA12_TX-124-2012-1","NLA12_TX-124",1,10,2012,7,13,27.4,0.2,7.5,1310,"E",0
