"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"21469","NLA12_UT-173-2012-1","NLA12_UT-173",1,0,2012,6,27,NA,7.115,NA,NA,"E",0
"21470","NLA12_UT-173-2012-1","NLA12_UT-173",1,1,2012,6,27,21.33,7.15,8.16,418,"E",0
"21471","NLA12_UT-173-2012-1","NLA12_UT-173",1,2,2012,6,27,21.19,7.29,8.16,418,"E",0
"21472","NLA12_UT-173-2012-1","NLA12_UT-173",1,3,2012,6,27,21.15,7.19,8.16,418,"E",0
"21473","NLA12_UT-173-2012-1","NLA12_UT-173",1,4,2012,6,27,21.1,7.21,8.17,418,"E",0
"21474","NLA12_UT-173-2012-1","NLA12_UT-173",1,5,2012,6,27,20.97,7.09,8.15,418,"E",0
"21475","NLA12_UT-173-2012-1","NLA12_UT-173",1,6,2012,6,27,20.54,6.97,8.11,418,"E",0
"21476","NLA12_UT-173-2012-1","NLA12_UT-173",1,7,2012,6,27,19.84,5.93,8.04,418,"E",0
"21477","NLA12_UT-173-2012-1","NLA12_UT-173",1,8,2012,6,27,19.19,5.43,7.97,417,"E",0
"21478","NLA12_UT-173-2012-1","NLA12_UT-173",1,9,2012,6,27,18.55,5.02,7.87,419,"E",0
"21479","NLA12_UT-173-2012-1","NLA12_UT-173",1,10,2012,6,27,18.04,3.87,7.76,419,"E",0
"21480","NLA12_UT-173-2012-1","NLA12_UT-173",1,11,2012,6,27,17.69,3.08,7.65,418,"E",0
"21481","NLA12_UT-173-2012-1","NLA12_UT-173",1,12,2012,6,27,17.37,2.18,7.58,417,"E",0
"21482","NLA12_UT-173-2012-1","NLA12_UT-173",1,13,2012,6,27,17.25,2.01,7.55,417,"E",0
"21483","NLA12_UT-173-2012-1","NLA12_UT-173",1,13.5,2012,6,27,16.94,0.99,7.45,418,"E",0
