"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"21895","NLA12_VT-115-2012-1","NLA12_VT-115",1,0.2,2012,8,13,24.145,7.295,7.21,80,"E",0
"21896","NLA12_VT-115-2012-1","NLA12_VT-115",1,1,2012,8,13,23.04,5.88,7.05,81.1,"E",0
"21897","NLA12_VT-115-2012-1","NLA12_VT-115",1,2,2012,8,13,20.36,5.41,6.88,84.1,"E",0
"21898","NLA12_VT-115-2012-1","NLA12_VT-115",1,3,2012,8,13,15.99,1.09,6.56,69.9,"E",0
"21899","NLA12_VT-115-2012-1","NLA12_VT-115",1,4,2012,8,13,11.39,0.98,6.59,73.7,"E",0
"21900","NLA12_VT-115-2012-1","NLA12_VT-115",1,5,2012,8,13,8.53,0.24,6.57,74.6,"E",0
"21901","NLA12_VT-115-2012-1","NLA12_VT-115",1,6,2012,8,13,6.94,0,6.58,78.3,"E",0
"21902","NLA12_VT-115-2012-1","NLA12_VT-115",1,7,2012,8,13,6.2,0,6.64,87.7,"E",0
"21903","NLA12_VT-115-2012-1","NLA12_VT-115",1,8,2012,8,13,5.85,0,6.76,101.3,"E",0
"21904","NLA12_VT-115-2012-1","NLA12_VT-115",1,9,2012,8,13,5.71,0,6.83,115.7,"E",0
