"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"22009","NLA12_WA-131-2012-1","NLA12_WA-131",1,0.1,2012,8,8,NA,7.295,NA,NA,"E",0
"22010","NLA12_WA-131-2012-1","NLA12_WA-131",1,1,2012,8,8,23.7,7.41,8.27,645,"E",0
"22011","NLA12_WA-131-2012-1","NLA12_WA-131",1,2,2012,8,8,23.7,7.3,8.27,645,"E",0
"22012","NLA12_WA-131-2012-1","NLA12_WA-131",1,3,2012,8,8,23.1,6.42,8.17,646,"M",0
"22013","NLA12_WA-131-2012-1","NLA12_WA-131",1,4,2012,8,8,21.5,3.5,7.86,653,"M",0
"22014","NLA12_WA-131-2012-1","NLA12_WA-131",1,5,2012,8,8,13.9,0.1,7.41,741,"M",0
"22015","NLA12_WA-131-2012-1","NLA12_WA-131",1,6,2012,8,8,8.5,0.04,7.21,779,"M",0
"22016","NLA12_WA-131-2012-1","NLA12_WA-131",1,7,2012,8,8,6.39,0.03,7.16,799,"M",0
"22017","NLA12_WA-131-2012-1","NLA12_WA-131",1,8,2012,8,8,5.4,0.07,7.03,907,"M",0
"22018","NLA12_WA-131-2012-1","NLA12_WA-131",1,8.2,2012,8,8,5.46,0.07,6.96,978,"M",0
