"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"22488","NLA12_WV-106-2012-1","NLA12_WV-106",1,0,2012,6,13,25.18,8.61,7.44,106,"E",0
"22489","NLA12_WV-106-2012-1","NLA12_WV-106",1,2,2012,6,13,24.99,8.41,7.49,106,"E",0
"22490","NLA12_WV-106-2012-1","NLA12_WV-106",1,3,2012,6,13,22.77,8.77,7.68,104,"E",0
"22491","NLA12_WV-106-2012-1","NLA12_WV-106",1,4,2012,6,13,21.24,9.35,7.48,102,"E",0
"22492","NLA12_WV-106-2012-1","NLA12_WV-106",1,5,2012,6,13,19.66,9.51,7.34,102,"E",0
"22493","NLA12_WV-106-2012-1","NLA12_WV-106",1,6,2012,6,13,18.53,8.64,7.21,102,"E",0
"22494","NLA12_WV-106-2012-1","NLA12_WV-106",1,7,2012,6,13,13.75,7.46,7.24,107,"E",0
"22495","NLA12_WV-106-2012-1","NLA12_WV-106",1,8,2012,6,13,11.81,5.79,6.94,106,"E",0
"22496","NLA12_WV-106-2012-1","NLA12_WV-106",1,9,2012,6,13,10.26,4.12,6.73,105,"E",0
"22497","NLA12_WV-106-2012-1","NLA12_WV-106",1,10,2012,6,13,8.9,3.73,6.54,107,"E",0
"22498","NLA12_WV-106-2012-1","NLA12_WV-106",1,11,2012,6,13,7.79,3.72,6.53,111,"E",0
"22499","NLA12_WV-106-2012-1","NLA12_WV-106",1,12,2012,6,13,7.61,3.61,6.4,111,"E",0
"22500","NLA12_WV-106-2012-1","NLA12_WV-106",1,13,2012,6,13,7.41,3.43,6.36,110,"E",0
"22501","NLA12_WV-106-2012-1","NLA12_WV-106",1,14,2012,6,13,7.08,3.26,6.25,114,"E",0
"22502","NLA12_WV-106-2012-1","NLA12_WV-106",1,15,2012,6,13,7.01,3.42,6.24,114,"E",0
"22503","NLA12_WV-106-2012-1","NLA12_WV-106",1,16,2012,6,13,6.73,3.54,6.25,114,"E",0
